Book Name	Chapter	Verse	Strong Number	Hebrew Eng	Hebrew	Eng Word	Word Type
1 Chronicles	12	1	428[e]	wə·’êl·leh,	וְאֵ֗לֶּה	Now these [are]	Pro
1 Chronicles	12	1	935[e]	hab·bā·’îm	הַבָּאִ֤ים	they who came	Verb
1 Chronicles	12	1	413[e]	’el-	אֶל־	unto	Prep
1 Chronicles	12	1	1732[e]	dā·wîḏ	דָּוִיד֙	David	Noun
1 Chronicles	12	1	6860[e]	lə·ṣî·qə·laḡ,	לְצִ֣יקְלַ֔ג	at Ziklag	Noun
1 Chronicles	12	1	5750[e]	‘ō·wḏ	ע֣וֹד	while he yet	Subst
1 Chronicles	12	1	6113[e]	‘ā·ṣūr,	עָצ֔וּר	kept himself close	Verb
1 Chronicles	12	1	6440[e]	mip·pə·nê	מִפְּנֵ֖י	because	Noun
1 Chronicles	12	1	7586[e]	šā·’ūl	שָׁא֣וּל	of Saul	Noun
1 Chronicles	12	1	1121[e]	ben-	בֶּן־	the son	Noun
1 Chronicles	12	1	7027[e]	qîš;	קִ֑ישׁ	of Kish	Noun
1 Chronicles	12	1	1992[e]	wə·hêm·māh	וְהֵ֙מָּה֙	and they [were]	Pro
1 Chronicles	12	1	1368[e]	bag·gib·bō·w·rîm,	בַּגִּבּוֹרִ֔ים	among the mighty men	Adj
1 Chronicles	12	1	5826[e]	‘ō·zə·rê	עֹזְרֵ֖י	helpers	Verb
1 Chronicles	12	1	4421[e]	ham·mil·ḥā·māh.	הַמִּלְחָמָֽה׃	of the war	Noun
1 Chronicles	12	2	5401[e]	nō·šə·qê	נֹ֣שְׁקֵי	[They were] armed	Verb
1 Chronicles	12	2	7198[e]	qe·šeṯ,	קֶ֗שֶׁת	with bows	Noun
1 Chronicles	12	2	3231[e]	may·mî·nîm	מַיְמִינִ֤ים	could use both the right hand	Verb
1 Chronicles	12	2	8041[e]	ū·maś·mi·lîm	וּמַשְׂמִאלִים֙	and the left	Verb
1 Chronicles	12	2	68[e]	bā·’ă·ḇā·nîm,	בָּֽאֲבָנִ֔ים	[hurling] in stones	Noun
1 Chronicles	12	2	2671[e]	ū·ḇa·ḥiṣ·ṣîm	וּבַחִצִּ֖ים	[shooting] and arrows	Noun
1 Chronicles	12	2	7198[e]	baq·qā·šeṯ;	בַּקָּ֑שֶׁת	from the bow	Noun
1 Chronicles	12	2	251[e]	mê·’ă·ḥê	מֵאֲחֵ֥י	brothers	Noun
1 Chronicles	12	2	7586[e]	šā·’ūl	שָׁא֖וּל	of [even] of Saul	Noun
1 Chronicles	12	2	1144[e]	mib·bin·yā·min.	מִבִּנְיָמִֽן׃	from Benjamin	Noun
1 Chronicles	12	3	7218[e]	hā·rōš	הָרֹ֨אשׁ	The chief [was]	Noun
1 Chronicles	12	3	295[e]	’ă·ḥî·‘e·zer	אֲחִיעֶ֜זֶר	Ahiezer	Noun
1 Chronicles	12	3	3101[e]	wə·yō·w·’āš,	וְיוֹאָ֗שׁ	then Joash	Noun
1 Chronicles	12	3	1121[e]	bə·nê	בְּנֵי֙	the sons	Noun
1 Chronicles	12	3	8094[e]	haš·šə·mā·‘āh	הַשְּׁמָעָ֣ה	of Shemaah	Noun
1 Chronicles	12	3	1395[e]	hag·giḇ·‘ā·ṯî,	הַגִּבְעָתִ֔י	Gibeathite	Adj
1 Chronicles	12	3		[wî·zū·’êl	[וִיזוּאֵל	 - 	 
1 Chronicles	12	3		ḵ]	כ]	 - 	 
1 Chronicles	12	3	3149[e]	(wî·zî·’êl	(וִיזִיאֵ֥ל	Jeziel	Noun
1 Chronicles	12	3		q)	ק)	 - 	 
1 Chronicles	12	3	6404[e]	wā·p̄e·leṭ	וָפֶ֖לֶט	and Pelet	Noun
1 Chronicles	12	3	1121[e]	bə·nê	בְּנֵ֣י	the sons	Noun
1 Chronicles	12	3	5820[e]	‘az·mā·weṯ;	עַזְמָ֑וֶת	of Azmaveth	Noun
1 Chronicles	12	3	1294[e]	ū·ḇə·rā·ḵāh	וּבְרָכָ֕ה	and Berachah	Noun
1 Chronicles	12	3	3058[e]	wə·yê·hū	וְיֵה֖וּא	and the Jehu	Noun
1 Chronicles	12	3	6069[e]	hā·‘ăn·nə·ṯō·ṯî.	הָעֲנְּתֹתִֽי׃	Antothite	Adj
1 Chronicles	12	4	3460[e]	wə·yiš·ma‘·yāh	וְיִֽשְׁמַֽעְיָ֧ה	and the Ismaiah	Noun
1 Chronicles	12	4	1393[e]	hag·giḇ·‘ō·w·nî	הַגִּבְעוֹנִ֛י	Gibeonite	Adj
1 Chronicles	12	4	1368[e]	gib·bō·wr	גִּבּ֥וֹר	a mighty man	Adj
1 Chronicles	12	4	7970[e]	baš·šə·lō·šîm	בַּשְּׁלֹשִׁ֖ים	among the thirty	Noun
1 Chronicles	12	4	5921[e]	wə·‘al-	וְעַל־	and over	Prep
1 Chronicles	12	4	7970[e]	haš·šə·lō·šîm.	הַשְּׁלֹשִֽׁים׃	the thirty	Noun
1 Chronicles	12	5	3414[e]	wə·yir·mə·yāh	וְיִרְמְיָ֤ה	and Jeremiah	Noun
1 Chronicles	12	5	3166[e]	wə·ya·ḥă·zî·’êl	וְיַחֲזִיאֵל֙	and Jahaziel	Noun
1 Chronicles	12	5	3076[e]	wə·yō·w·ḥā·nān,	וְי֣וֹחָנָ֔ן	and Johanan	Noun
1 Chronicles	12	5	3107[e]	wə·yō·w·zā·ḇāḏ	וְיוֹזָבָ֖ד	and Josabad	Noun
1 Chronicles	12	5	1452[e]	hag·gə·ḏê·rā·ṯî.	הַגְּדֵרָתִֽי׃	Gederathite	Adj
1 Chronicles	12	6	498[e]	’el·‘ū·zay	אֶלְעוּזַ֤י	Eluzai	Noun
1 Chronicles	12	6	3406[e]	wî·rî·mō·wṯ	וִירִימוֹת֙	Jerimoth	Noun
1 Chronicles	12	6	1183[e]	ū·ḇə·‘al·yāh	וּבְעַלְיָ֣ה	and Bealiah	Noun
1 Chronicles	12	6	8114[e]	ū·šə·mar·yā·hū,	וּשְׁמַרְיָ֔הוּ	and Shemariah	Noun
1 Chronicles	12	6	8203[e]	ū·šə·p̄aṭ·yā·hū	וּשְׁפַטְיָ֖הוּ	and Shephatiah	Noun
1 Chronicles	12	6		[ha·ḥă·rî·p̄î	[הַחֲרִיפִי	 - 	 
1 Chronicles	12	6		ḵ]	כ]	 - 	 
1 Chronicles	12	6	2741[e]	(ha·ḥă·rū·p̄î.	(הַחֲרוּפִֽי׃	the Haruphite	Noun
1 Chronicles	12	6		q)	ק)	 - 	 
1 Chronicles	12	7	511[e]	’el·qā·nāh	אֶלְקָנָ֡ה	Elkanah	Noun
1 Chronicles	12	7	3449[e]	wə·yiš·šî·yā·hū	וְ֠יִשִּׁיָּהוּ	and Jesiah	Noun
1 Chronicles	12	7	5832[e]	wa·‘ă·zar·’êl	וַעֲזַרְאֵ֧ל	and Azareel	Noun
1 Chronicles	12	7	3134[e]	wə·yō·w·‘e·zer	וְיוֹעֶ֛זֶר	and Joezer	Noun
1 Chronicles	12	7	3434[e]	wə·yā·šā·ḇə·‘ām	וְיָשָׁבְעָ֖ם	and Jashobeam	Noun
1 Chronicles	12	7	7145[e]	haq·qā·rə·ḥîm.	הַקָּרְחִֽים׃	the Korhites	Noun
1 Chronicles	12	8	3132[e]	wə·yō·w·‘ê·lāh	וְיוֹעֵאלָ֧ה	And Joelah	Noun
1 Chronicles	12	8	2069[e]	ū·zə·ḇaḏ·yāh	וּזְבַדְיָ֛ה	and Zebadiah	Noun
1 Chronicles	12	8	1121[e]	bə·nê	בְּנֵ֥י	the sons	Noun
