Book Name	Chapter	Verse	Strong Number	Hebrew Eng	Hebrew	Eng Word	Word Type
1 Chronicles	1	1	121[e]	’ā·ḏām	אָדָ֥ם	Adam	Noun
1 Chronicles	1	1	8352[e]	šêṯ	שֵׁ֖ת	Sheth	Noun
1 Chronicles	1	1	583[e]	’ĕ·nō·wōš.	אֱנֽוֹשׁ׃	Enosh	Noun
1 Chronicles	1	2	7018[e]	qê·nān	קֵינָ֥ן	Kenan	Noun
1 Chronicles	1	2	4111[e]	ma·hă·lal·’êl	מַהֲלַלְאֵ֖ל	Mahalaleel	Noun
1 Chronicles	1	2	3382[e]	yā·reḏ.	יָֽרֶד׃	Jered	Noun
1 Chronicles	1	3	2585[e]	ḥă·nō·wḵ	חֲנ֥וֹךְ	Henoch	Noun
1 Chronicles	1	3	4968[e]	mə·ṯū·še·laḥ	מְתוּשֶׁ֖לַח	Methuselah	Noun
1 Chronicles	1	3	3929[e]	lā·meḵ.	לָֽמֶךְ׃	Lamech	Noun
1 Chronicles	1	4	5146[e]	nō·aḥ	נֹ֥חַ	Noah	Noun
1 Chronicles	1	4	8035[e]	šêm	שֵׁ֖ם	Shem	Noun
1 Chronicles	1	4	2526[e]	ḥām	חָ֥ם	Ham	Noun
1 Chronicles	1	4	3315[e]	wā·yā·p̄eṯ.	וָיָֽפֶת׃	and Japheth	Noun
1 Chronicles	1	4		s	ס	 - 	 
1 Chronicles	1	5	1121[e]	bə·nê	בְּנֵ֣י	The sons	Noun
1 Chronicles	1	5	3315[e]	ye·p̄eṯ,	יֶ֔פֶת	of Japheth	Noun
1 Chronicles	1	5	1586[e]	gō·mer	גֹּ֣מֶר	Gomer	Noun
1 Chronicles	1	5	4031[e]	ū·mā·ḡō·wḡ,	וּמָג֔וֹג	and Magog	Noun
1 Chronicles	1	5	4074[e]	ū·mā·ḏay	וּמָדַ֖י	and Madai	Noun
1 Chronicles	1	5	3120[e]	wə·yā·wān	וְיָוָ֣ן	and Javan	Noun
1 Chronicles	1	5	8422[e]	wə·ṯu·ḇāl;	וְתֻבָ֑ל	and Tubal	Noun
1 Chronicles	1	5	4902[e]	ū·me·šeḵ	וּמֶ֖שֶׁךְ	and Meshech	Noun
1 Chronicles	1	5	8494[e]	wə·ṯî·rās.	וְתִירָֽס׃	and Tiras	Noun
1 Chronicles	1	5		s	ס	 - 	 
1 Chronicles	1	6	1121[e]	ū·ḇə·nê	וּבְנֵ֖י	and the sons	Noun
1 Chronicles	1	6	1586[e]	gō·mer;	גֹּ֑מֶר	of Gomer	Noun
1 Chronicles	1	6	813[e]	’aš·kă·naz	אַשְׁכֲּנַ֥ז	Ashchenaz	Noun
1 Chronicles	1	6	7384[e]	wə·ḏî·p̄aṯ	וְדִיפַ֖ת	and Riphath	Noun
1 Chronicles	1	6	8425[e]	wə·ṯō·w·ḡar·māh.	וְתוֹגַרְמָֽה׃	and Togarmah	Noun
1 Chronicles	1	7	1121[e]	ū·ḇə·nê	וּבְנֵ֥י	and the sons	Noun
