Book Name	Chapter	Verse	Strong Number	Hebrew Eng	Hebrew	Eng Word	Word Type
1 Chronicles	19	1	1961[e]	way·hî	וַיְהִי֙	Now it came to pass	Verb
1 Chronicles	19	1	310[e]	’a·ḥă·rê-	אַחֲרֵי־	after	Adv
1 Chronicles	19	1	3651[e]	ḵên,	כֵ֔ן	this	Adj
1 Chronicles	19	1	4191[e]	way·yā·māṯ	וַיָּ֕מָת	that died	Verb
1 Chronicles	19	1	5176[e]	nā·ḥāš	נָחָ֖שׁ	Nahash	Noun
1 Chronicles	19	1	4428[e]	me·leḵ	מֶ֣לֶךְ	the king	Noun
1 Chronicles	19	1	1121[e]	bə·nê-	בְּנֵי־	of the sons	Noun
1 Chronicles	19	1	5983[e]	‘am·mō·wn;	עַמּ֑וֹן	of Ammon	Noun
1 Chronicles	19	1	4427[e]	way·yim·lōḵ	וַיִּמְלֹ֥ךְ	and reigned	Verb
1 Chronicles	19	1	1121[e]	bə·nōw	בְּנ֖וֹ	his son	Noun
1 Chronicles	19	1	8478[e]	taḥ·tāw.	תַּחְתָּֽיו׃	in his place	Noun
1 Chronicles	19	2	559[e]	way·yō·mer	וַיֹּ֨אמֶר	And said	Verb
1 Chronicles	19	2	1732[e]	dā·wîḏ	דָּוִ֜יד	David	Noun
1 Chronicles	19	2	6213[e]	’e·‘ĕ·śeh-	אֶֽעֱשֶׂה־	I will show	Verb
1 Chronicles	19	2	2617[e]	ḥe·seḏ	חֶ֣סֶד ׀	covenant loyalty	Noun
1 Chronicles	19	2	5973[e]	‘im-	עִם־	to	Prep
1 Chronicles	19	2	2586[e]	ḥā·nūn	חָנ֣וּן	Hanun	Noun
1 Chronicles	19	2	1121[e]	ben-	בֶּן־	the son	Noun
1 Chronicles	19	2	5176[e]	nā·ḥāš,	נָחָ֗שׁ	of Nahash	Noun
1 Chronicles	19	2	3588[e]	kî-	כִּֽי־	because	Conj
1 Chronicles	19	2	6213[e]	‘ā·śāh	עָשָׂ֨ה	showed	Verb
1 Chronicles	19	2	1[e]	’ā·ḇîw	אָבִ֤יו	his father	Noun
1 Chronicles	19	2	5973[e]	‘im·mî	עִמִּי֙	to	Prep
1 Chronicles	19	2	2617[e]	ḥe·seḏ,	חֶ֔סֶד	covenant loyalty	Noun
1 Chronicles	19	2	7971[e]	way·yiš·laḥ	וַיִּשְׁלַ֥ח	and sent me	Verb
1 Chronicles	19	2	1732[e]	dā·wîḏ	דָּוִ֛יד	And David	Noun
1 Chronicles	19	2	4397[e]	mal·’ā·ḵîm	מַלְאָכִ֖ים	messengers	Noun
1 Chronicles	19	2	5162[e]	lə·na·ḥă·mōw	לְנַחֲמ֣וֹ	to console	Verb
1 Chronicles	19	2	5921[e]	‘al-	עַל־	concerning	Prep
1 Chronicles	19	2	1[e]	’ā·ḇîw;	אָבִ֑יו	his father	Noun
1 Chronicles	19	2	935[e]	way·yā·ḇō·’ū	וַיָּבֹאוּ֩	and came	Verb
1 Chronicles	19	2	5650[e]	‘aḇ·ḏê	עַבְדֵ֨י	So the servants	Noun
1 Chronicles	19	2	1732[e]	ḏā·wîḏ	דָוִ֜יד	of David	Noun
1 Chronicles	19	2	413[e]	’el-	אֶל־	into	Prep
1 Chronicles	19	2	776[e]	’e·reṣ	אֶ֧רֶץ	the land	Noun
1 Chronicles	19	2	1121[e]	bə·nê-	בְּנֵי־	of the sons	Noun
1 Chronicles	19	2	5983[e]	‘am·mō·wn	עַמּ֛וֹן	of Ammon	Noun
1 Chronicles	19	2	413[e]	’el-	אֶל־	unto	Prep
1 Chronicles	19	2	2586[e]	ḥā·nūn	חָנ֖וּן	Hanun	Noun
1 Chronicles	19	2	5162[e]	lə·na·ḥă·mōw.	לְנַחֲמֽוֹ׃	to console	Verb
1 Chronicles	19	3	559[e]	way·yō·mə·rū	וַיֹּאמְרוּ֩	But said	Verb
1 Chronicles	19	3	8269[e]	śā·rê	שָׂרֵ֨י	the princes	Noun
1 Chronicles	19	3	1121[e]	ḇə·nê-	בְנֵי־	of the sons	Noun
1 Chronicles	19	3	5983[e]	‘am·mō·wn	עַמּ֜וֹן	of Ammon	Noun
1 Chronicles	19	3	2586[e]	lə·ḥā·nūn,	לְחָנ֗וּן	to Hanun	Noun
1 Chronicles	19	3	3513[e]	ham·ḵab·bêḏ	הַֽמְכַבֵּ֨ד	does honor you	Verb
1 Chronicles	19	3	1732[e]	dā·wîḏ	דָּוִ֤יד	that David	Noun
1 Chronicles	19	3	853[e]	’eṯ-	אֶת־	 - 	Acc
1 Chronicles	19	3	1[e]	’ā·ḇî·ḵā	אָבִ֙יךָ֙	your father	Noun
1 Chronicles	19	3	5869[e]	bə·‘ê·ne·ḵā,	בְּעֵינֶ֔יךָ	think	Noun
1 Chronicles	19	3	3588[e]	kî-	כִּֽי־	that	Conj
1 Chronicles	19	3	7971[e]	šā·laḥ	שָׁלַ֥ח	he has sent	Verb
1 Chronicles	19	3		lə·ḵā	לְךָ֖	to	Prep
1 Chronicles	19	3	5162[e]	mə·na·ḥă·mîm;	מְנַחֲמִ֑ים	comforters	Verb
1 Chronicles	19	3	3808[e]	hă·lō	הֲלֹ֡א	to thee? are not you	Adv
1 Chronicles	19	3	5668[e]	ba·‘ă·ḇūr	בַּ֠עֲבוּר	for	Adv
1 Chronicles	19	3	2713[e]	laḥ·qōr	לַחְקֹ֨ר	to you to search	Verb
1 Chronicles	19	3	2015[e]	wə·la·hă·p̄ōḵ	וְלַהֲפֹ֤ךְ	and to overthrow	Verb
1 Chronicles	19	3	7270[e]	ū·lə·rag·gêl	וּלְרַגֵּל֙	and to spy out	Verb
1 Chronicles	19	3	776[e]	hā·’ā·reṣ,	הָאָ֔רֶץ	the land	Noun
1 Chronicles	19	3	935[e]	bā·’ū	בָּ֥אוּ	come	Verb
1 Chronicles	19	3	5650[e]	‘ă·ḇā·ḏāw	עֲבָדָ֖יו	his servants	Noun
1 Chronicles	19	3	413[e]	’ê·le·ḵā.	אֵלֶֽיךָ׃	unto	Prep
1 Chronicles	19	3		p̄	פ	 - 	 
1 Chronicles	19	4	3947[e]	way·yiq·qaḥ	וַיִּקַּ֨ח	and took	Verb
1 Chronicles	19	4	2586[e]	ḥā·nūn	חָנ֜וּן	Why Hanun	Noun
1 Chronicles	19	4	853[e]	’eṯ-	אֶת־	 - 	Acc
1 Chronicles	19	4	5650[e]	‘aḇ·ḏê	עַבְדֵ֤י	servants	Noun
1 Chronicles	19	4	1732[e]	ḏā·wîḏ	דָוִיד֙	of David	Noun
1 Chronicles	19	4	1548[e]	way·ḡal·lə·ḥêm,	וַֽיְגַלְּחֵ֔ם	and shaved them	Verb
1 Chronicles	19	4	3772[e]	way·yiḵ·rōṯ	וַיִּכְרֹ֧ת	and cut off	Verb
1 Chronicles	19	4	853[e]	’eṯ-	אֶת־	 - 	Acc
1 Chronicles	19	4	4063[e]	maḏ·wê·hem	מַדְוֵיהֶ֛ם	their garments	Noun
1 Chronicles	19	4	2677[e]	ba·ḥê·ṣî	בַּחֵ֖צִי	in the middle	Noun
1 Chronicles	19	4	5704[e]	‘aḏ-	עַד־	hard by	Prep
1 Chronicles	19	4	4667[e]	ham·mip̄·śā·‘āh;	הַמִּפְשָׂעָ֑ה	their buttocks	Noun
1 Chronicles	19	4	7971[e]	way·šal·lə·ḥêm.	וַֽיְשַׁלְּחֵֽם׃	and sent them away	Verb
1 Chronicles	19	5	1980[e]	way·yê·lə·ḵū	וַיֵּלְכוּ֩	Then there went	Verb
1 Chronicles	19	5	5046[e]	way·yag·gî·ḏū	וַיַּגִּ֨ידוּ	[certain] and told	Verb
1 Chronicles	19	5	1732[e]	lə·ḏā·wîḏ	לְדָוִ֤יד	David	Noun
1 Chronicles	19	5	5921[e]	‘al-	עַל־	how	Prep
1 Chronicles	19	5	582[e]	hā·’ă·nā·šîm	הָֽאֲנָשִׁים֙	how the men	Noun
1 Chronicles	19	5	7971[e]	way·yiš·laḥ	וַיִּשְׁלַ֣ח	And he sent	Verb
1 Chronicles	19	5	7125[e]	liq·rā·ṯām,	לִקְרָאתָ֔ם	to meet	Noun
1 Chronicles	19	5	3588[e]	kî-	כִּי־	for	Conj
1 Chronicles	19	5	1961[e]	hā·yū	הָי֥וּ	were them	Verb
1 Chronicles	19	5	582[e]	hā·’ă·nā·šîm	הָאֲנָשִׁ֖ים	for the men	Noun
1 Chronicles	19	5	3637[e]	niḵ·lā·mîm	נִכְלָמִ֣ים	ashamed	Verb
1 Chronicles	19	5	3966[e]	mə·’ōḏ;	מְאֹ֑ד	were greatly	Adj
1 Chronicles	19	5	559[e]	way·yō·mer	וַיֹּ֤אמֶר	And said	Verb
