Book Name	Chapter	Verse	Strong Number	Hebrew Eng	Hebrew	Eng Word	Word Type
1 Chronicles	15	1	6213[e]	way·ya·‘aś-	וַיַּֽעַשׂ־	[David] And made	Verb
1 Chronicles	15	1		lōw	ל֥וֹ	to him	Prep
1 Chronicles	15	1	1004[e]	ḇāt·tîm	בָתִּ֖ים	houses	Noun
1 Chronicles	15	1	5892[e]	bə·‘îr	בְּעִ֣יר	for himself in the city	Noun
1 Chronicles	15	1	1732[e]	dā·wîḏ;	דָּוִ֑יד	of David	Noun
1 Chronicles	15	1	3559[e]	way·yā·ḵen	וַיָּ֤כֶן	and prepared	Verb
1 Chronicles	15	1	4725[e]	mā·qō·wm	מָקוֹם֙	a place	Noun
1 Chronicles	15	1	727[e]	la·’ă·rō·wn	לַֽאֲר֣וֹן	for the ark	Noun
1 Chronicles	15	1	430[e]	hā·’ĕ·lō·hîm,	הָֽאֱלֹהִ֔ים	of God	Noun
1 Chronicles	15	1	5186[e]	way·yeṭ-	וַיֶּט־	and pitched	Verb
1 Chronicles	15	1		lōw	ל֖וֹ	to	Prep
1 Chronicles	15	1	168[e]	’ō·hel.	אֹֽהֶל׃	for it a tent	Noun
1 Chronicles	15	2	227[e]	’āz	אָ֚ז	Then	Adv
1 Chronicles	15	2	559[e]	’ā·mar	אָמַ֣ר	said	Verb
1 Chronicles	15	2	1732[e]	dā·wîḏ,	דָּוִ֔יד	David	Noun
1 Chronicles	15	2	3808[e]	lō	לֹ֤א	none	Adv
1 Chronicles	15	2	5375[e]	lā·śêṯ	לָשֵׂאת֙	ought to carry	Verb
1 Chronicles	15	2	853[e]	’eṯ-	אֶת־	 - 	Acc
1 Chronicles	15	2	727[e]	’ă·rō·wn	אֲר֣וֹן	the ark	Noun
1 Chronicles	15	2	430[e]	hā·’ĕ·lō·hîm,	הָֽאֱלֹהִ֔ים	of God	Noun
1 Chronicles	15	2	3588[e]	kî	כִּ֖י	for	Conj
1 Chronicles	15	2	518[e]	’im-	אִם־	.. .. ..	Conj
1 Chronicles	15	2	3881[e]	hal·wî·yim;	הַלְוִיִּ֑ם	the Levites	Adj
1 Chronicles	15	2	3588[e]	kî-	כִּי־	for	Conj
1 Chronicles	15	2		ḇām	בָ֣ם ׀	in	Prep
1 Chronicles	15	2	977[e]	bā·ḥar	בָּחַ֣ר	chosen them	Verb
1 Chronicles	15	2	3068[e]	Yah·weh	יְהוָ֗ה	has the LORD	Noun
1 Chronicles	15	2	5375[e]	lā·śêṯ	לָשֵׂ֞את	to carry	Verb
1 Chronicles	15	2	853[e]	’eṯ-	אֶת־	 - 	Acc
1 Chronicles	15	2	727[e]	’ă·rō·wn	אֲר֧וֹן	the ark	Noun
1 Chronicles	15	2	3068[e]	Yah·weh	יְהוָ֛ה	the LORD	Noun
1 Chronicles	15	2	8334[e]	ū·lə·šā·rə·ṯōw	וּֽלְשָׁרְת֖וֹ	and to minister	Verb
1 Chronicles	15	2	5704[e]	‘aḏ-	עַד־	to him for	Prep
1 Chronicles	15	2	5769[e]	‘ō·w·lām.	עוֹלָֽם׃	ever	Noun
1 Chronicles	15	2		s	ס	 - 	 
1 Chronicles	15	3	6950[e]	way·yaq·hêl	וַיַּקְהֵ֥ל	And gathered	Verb
1 Chronicles	15	3	1732[e]	dā·wîḏ	דָּוִ֛יד	David	Noun
1 Chronicles	15	3	853[e]	’eṯ-	אֶת־	 - 	Acc
1 Chronicles	15	3	3605[e]	kāl-	כָּל־	all	Noun
1 Chronicles	15	3	3478[e]	yiś·rā·’êl	יִשְׂרָאֵ֖ל	Israel	Noun
1 Chronicles	15	3	413[e]	’el-	אֶל־	together unto	Prep
1 Chronicles	15	3	3389[e]	yə·rū·šā·lim;	יְרֽוּשָׁלִָ֑ם	Jerusalem	Noun
1 Chronicles	15	3	5927[e]	lə·ha·‘ă·lō·wṯ	לְהַעֲלוֹת֙	to bring	Verb
1 Chronicles	15	3	853[e]	’eṯ-	אֶת־	 - 	Acc
1 Chronicles	15	3	727[e]	’ă·rō·wn	אֲר֣וֹן	the ark	Noun
1 Chronicles	15	3	3068[e]	Yah·weh,	יְהוָ֔ה	of the LORD	Noun
1 Chronicles	15	3	413[e]	’el-	אֶל־	unto	Prep
1 Chronicles	15	3	4725[e]	mə·qō·w·mōw	מְקוֹמ֖וֹ	its place	Noun
1 Chronicles	15	3	834[e]	’ă·šer-	אֲשֶׁר־	that	Prt
1 Chronicles	15	3	3559[e]	hê·ḵîn	הֵכִ֥ין	he had prepared	Verb
1 Chronicles	15	3		lōw.	לֽוֹ׃	to	Prep
1 Chronicles	15	4	622[e]	way·ye·’ĕ·sōp̄	וַיֶּאֱסֹ֥ף	And assembled	Verb
1 Chronicles	15	4	1732[e]	dā·wîḏ	דָּוִ֛יד	David	Noun
1 Chronicles	15	4	853[e]	’eṯ-	אֶת־	 - 	Acc
1 Chronicles	15	4	1121[e]	bə·nê	בְּנֵ֥י	the children	Noun
1 Chronicles	15	4	175[e]	’a·hă·rōn	אַֽהֲרֹ֖ן	of Aaron	Noun
1 Chronicles	15	4	853[e]	wə·’eṯ-	וְאֶת־	and	Acc
1 Chronicles	15	4	3881[e]	hal·wî·yim.	הַלְוִיִּֽם׃	the Levites	Adj
1 Chronicles	15	5	1121[e]	liḇ·nê	לִבְנֵ֖י	of the sons	Noun
1 Chronicles	15	5	6955[e]	qə·hāṯ;	קְהָ֑ת	of Kohath	Noun
1 Chronicles	15	5	222[e]	’ū·rî·’êl	אוּרִיאֵ֣ל	Uriel	Noun
1 Chronicles	15	5	8269[e]	haś·śār,	הַשָּׂ֔ר	the chief	Noun
1 Chronicles	15	5	251[e]	wə·’e·ḥāw	וְאֶחָ֖יו	and his brothers	Noun
1 Chronicles	15	5	3967[e]	mê·’āh	מֵאָ֥ה	a hundred	Noun
1 Chronicles	15	5	6242[e]	wə·‘eś·rîm.	וְעֶשְׂרִֽים׃	and twenty	Noun
1 Chronicles	15	5		s	ס	 - 	 
1 Chronicles	15	6	1121[e]	liḇ·nê	לִבְנֵ֖י	of the sons	Noun
1 Chronicles	15	6	4847[e]	mə·rā·rî;	מְרָרִ֑י	of Merari	Noun
1 Chronicles	15	6	6222[e]	‘ă·śā·yāh	עֲשָׂיָ֣ה	Asaiah	Noun
1 Chronicles	15	6	8269[e]	haś·śār,	הַשָּׂ֔ר	the chief	Noun
1 Chronicles	15	6	251[e]	wə·’e·ḥāw	וְאֶחָ֖יו	and his brothers	Noun
1 Chronicles	15	6	3967[e]	mā·ṯa·yim	מָאתַ֥יִם	two hundred	Noun
1 Chronicles	15	6	6242[e]	wə·‘eś·rîm.	וְעֶשְׂרִֽים׃	and twenty	Noun
1 Chronicles	15	6		s	ס	 - 	 
1 Chronicles	15	7	1121[e]	liḇ·nê	לִבְנֵ֖י	of the sons	Noun
1 Chronicles	15	7	1648[e]	gê·rə·šō·wm;	גֵּרְשׁ֑וֹם	of Gershom	Noun
1 Chronicles	15	7	3100[e]	yō·w·’êl	יוֹאֵ֣ל	Joel	Noun
1 Chronicles	15	7	8269[e]	haś·śār,	הַשָּׂ֔ר	the chief	Noun
1 Chronicles	15	7	251[e]	wə·’e·ḥāw	וְאֶחָ֖יו	and his brothers	Noun
1 Chronicles	15	7	3967[e]	mê·’āh	מֵאָ֥ה	a hundred	Noun
1 Chronicles	15	7	7970[e]	ū·šə·lō·šîm.	וּשְׁלֹשִֽׁים׃	and thirty	Noun
1 Chronicles	15	7		s	ס	 - 	 
1 Chronicles	15	8	1121[e]	liḇ·nê	לִבְנֵ֖י	of the sons	Noun
1 Chronicles	15	8	469[e]	’ĕ·lî·ṣā·p̄ān;	אֱלִֽיצָפָ֑ן	of Elizaphan	Noun
1 Chronicles	15	8	8098[e]	šə·ma‘·yāh	שְׁמַֽעְיָ֥ה	Shemaiah	Noun
1 Chronicles	15	8	8269[e]	haś·śār	הַשָּׂ֖ר	the chief	Noun
1 Chronicles	15	8	251[e]	wə·’e·ḥāw	וְאֶחָ֥יו	and his brothers	Noun
1 Chronicles	15	8	3967[e]	mā·ṯā·yim.	מָאתָֽיִם׃	two hundred	Noun
1 Chronicles	15	8		s	ס	 - 	 
1 Chronicles	15	9	1121[e]	liḇ·nê	לִבְנֵ֖י	of the sons	Noun
