Book Name	Chapter	Verse	Strong Number	Hebrew Eng	Hebrew	Eng Word	Word Type
1 Chronicles	26	1	4256[e]	lə·maḥ·lə·qō·wṯ	לְמַחְלְק֖וֹת	For the divisions	Noun
1 Chronicles	26	1	7778[e]	lə·šō·‘ă·rîm;	לְשֹׁעֲרִ֑ים	of the gatekeepers	Noun
1 Chronicles	26	1	7145[e]	laq·qā·rə·ḥîm	לַקָּרְחִ֕ים	Of the Korhites [was]	Noun
1 Chronicles	26	1	4920[e]	mə·še·lem·yā·hū	מְשֶֽׁלֶמְיָ֥הוּ	Meshelemiah	Noun
1 Chronicles	26	1	1121[e]	ḇen-	בֶן־	the son	Noun
1 Chronicles	26	1	6981[e]	qō·rê	קֹרֵ֖א	of Kore	Noun
1 Chronicles	26	1	4480[e]	min-	מִן־	of	Prep
1 Chronicles	26	1	1121[e]	bə·nê	בְּנֵ֥י	the sons	Noun
1 Chronicles	26	1	623[e]	’ā·sāp̄.	אָסָֽף׃	of Asaph	Noun
1 Chronicles	26	2	4920[e]	wə·lim·še·lem·yā·hū	וְלִמְשֶֽׁלֶמְיָ֖הוּ	And of Meshelemiah	Noun
1 Chronicles	26	2	1121[e]	bā·nîm;	בָּנִ֑ים	the sons [were]	Noun
1 Chronicles	26	2	2148[e]	zə·ḵar·yā·hū	זְכַרְיָ֤הוּ	Zechariah	Noun
1 Chronicles	26	2	1060[e]	hab·bə·ḵō·wr	הַבְּכוֹר֙	the firstborn	Noun
1 Chronicles	26	2	3043[e]	yə·ḏî·‘ă·’êl	יְדִֽיעֲאֵ֣ל	Jediael	Noun
1 Chronicles	26	2	8145[e]	haš·šê·nî,	הַשֵּׁנִ֔י	the second	Noun
1 Chronicles	26	2	2069[e]	zə·ḇaḏ·yā·hū	זְבַדְיָ֙הוּ֙	the Zebadiah	Noun
1 Chronicles	26	2	7992[e]	haš·šə·lî·šî,	הַשְּׁלִישִׁ֔י	third	Adj
1 Chronicles	26	2	3496[e]	yaṯ·nî·’êl	יַתְנִיאֵ֖ל	the Jathniel	Noun
1 Chronicles	26	2	7243[e]	hā·rə·ḇî·‘î.	הָרְבִיעִֽי׃	fourth	Adj
1 Chronicles	26	3	5867[e]	‘ê·lām	עֵילָ֤ם	the Elam	Noun
1 Chronicles	26	3	2549[e]	ha·ḥă·mî·šî	הַחֲמִישִׁי֙	fifth	Adj
1 Chronicles	26	3	3076[e]	yə·hō·w·ḥā·nān	יְהוֹחָנָ֣ן	Jehohanan	Noun
1 Chronicles	26	3	8345[e]	haš·šiš·šî,	הַשִּׁשִּׁ֔י	the sixth	Noun
1 Chronicles	26	3	454[e]	’el·yə·hō·w·‘ê·nay	אֶלְיְהוֹעֵינַ֖י	the Elioenai	Noun
1 Chronicles	26	3	7637[e]	haš·šə·ḇî·‘î.	הַשְּׁבִיעִֽי׃	seventh	Adj
1 Chronicles	26	4		ū·lə·‘ō·ḇêḏ	וּלְעֹבֵ֥ד	 - 	 
1 Chronicles	26	4	5654[e]	’ĕ·ḏōm	אֱדֹ֖ם	of Obed-edom	Noun
1 Chronicles	26	4	1121[e]	bā·nîm;	בָּנִ֑ים	Moreover the sons [were]	Noun
1 Chronicles	26	4	8098[e]	šə·ma‘·yāh	שְׁמַֽעְיָ֤ה	Shemaiah	Noun
1 Chronicles	26	4	1060[e]	hab·bə·ḵō·wr	הַבְּכוֹר֙	the firstborn	Noun
1 Chronicles	26	4	3075[e]	yə·hō·w·zā·ḇāḏ	יְהוֹזָבָ֣ד	Jehozabad	Noun
1 Chronicles	26	4	8145[e]	haš·šê·nî,	הַשֵּׁנִ֔י	the second	Noun
1 Chronicles	26	4	3098[e]	yō·w·’āḥ	יוֹאָ֤ח	the Joah	Noun
1 Chronicles	26	4	7992[e]	haš·šə·li·šî	הַשְּׁלִשִׁי֙	third	Adj
1 Chronicles	26	4	7940[e]	wə·śā·ḵār	וְשָׂכָ֣ר	and the Sacar	Noun
1 Chronicles	26	4	7243[e]	hā·rə·ḇî·‘î,	הָרְבִיעִ֔י	fourth	Adj
