Book Name	Chapter	Verse	Strong Number	Hebrew Eng	Hebrew	Eng Word	Word Type
1 Chronicles	23	1	1732[e]	wə·ḏā·wîḏ	וְדָוִ֥יד	so when David	Noun
1 Chronicles	23	1	2204[e]	zā·qên	זָקֵ֖ן	was old	Verb
1 Chronicles	23	1	7646[e]	wə·śā·ḇa‘	וְשָׂבַ֣ע	and full	Verb
1 Chronicles	23	1	3117[e]	yā·mîm;	יָמִ֑ים	of days	Noun
1 Chronicles	23	1	4427[e]	way·yam·lêḵ	וַיַּמְלֵ֛ךְ	and he made	Verb
1 Chronicles	23	1	853[e]	’eṯ-	אֶת־	 - 	Acc
1 Chronicles	23	1	8010[e]	šə·lō·mōh	שְׁלֹמֹ֥ה	Solomon	Noun
1 Chronicles	23	1	1121[e]	ḇə·nōw	בְנ֖וֹ	his son	Noun
1 Chronicles	23	1	5921[e]	‘al-	עַל־	over	Prep
1 Chronicles	23	1	3478[e]	yiś·rā·’êl.	יִשְׂרָאֵֽל׃	Israel	Noun
1 Chronicles	23	2	622[e]	way·ye·’ĕ·sōp̄	וַיֶּאֱסֹף֙	And he gathered together	Verb
1 Chronicles	23	2	853[e]	’eṯ-	אֶת־	 - 	Acc
1 Chronicles	23	2	3605[e]	kāl-	כָּל־	all	Noun
1 Chronicles	23	2	8269[e]	śā·rê	שָׂרֵ֣י	the princes	Noun
1 Chronicles	23	2	3478[e]	yiś·rā·’êl,	יִשְׂרָאֵ֔ל	of Israel	Noun
1 Chronicles	23	2	3548[e]	wə·hak·kō·hă·nîm	וְהַכֹּהֲנִ֖ים	and with the priests	Noun
1 Chronicles	23	2	3881[e]	wə·hal·wî·yim.	וְהַלְוִיִּֽם׃	and the Levites	Adj
1 Chronicles	23	3	5608[e]	way·yis·sā·p̄ə·rū	וַיִּסָּֽפְרוּ֙	and were numbered	Verb
1 Chronicles	23	3	3881[e]	hal·wî·yim,	הַלְוִיִּ֔ם	Now the Levites	Adj
1 Chronicles	23	3	1121[e]	mib·ben	מִבֶּ֛ן	from the age	Noun
1 Chronicles	23	3	7970[e]	šə·lō·šîm	שְׁלֹשִׁ֥ים	of thirty	Noun
1 Chronicles	23	3	8141[e]	šā·nāh	שָׁנָ֖ה	years	Noun
1 Chronicles	23	3	4605[e]	wā·mā·‘ə·lāh;	וָמָ֑עְלָה	and upward	Subst
1 Chronicles	23	3	1961[e]	way·hî	וַיְהִ֨י	and was	Verb
1 Chronicles	23	3	4557[e]	mis·pā·rām	מִסְפָּרָ֤ם	their number	Noun
1 Chronicles	23	3	1538[e]	lə·ḡul·gə·lō·ṯām	לְגֻלְגְּלֹתָם֙	by census	Noun
1 Chronicles	23	3	1397[e]	liḡ·ḇā·rîm,	לִגְבָרִ֔ים	of men	Noun
1 Chronicles	23	3	7970[e]	šə·lō·šîm	שְׁלֹשִׁ֥ים	thirty	Noun
1 Chronicles	23	3	8083[e]	ū·šə·mō·w·nāh	וּשְׁמוֹנָ֖ה	and eight	Noun
1 Chronicles	23	3	505[e]	’ā·lep̄.	אָֽלֶף׃	thousand	Noun
1 Chronicles	23	4	428[e]	mê·’êl·leh,	מֵאֵ֗לֶּה	Of these [were]	Pro
1 Chronicles	23	4	5329[e]	lə·naṣ·ṣê·aḥ	לְנַצֵּ֙חַ֙	to set forward	Verb
1 Chronicles	23	4	5921[e]	‘al-	עַל־	on	Prep
1 Chronicles	23	4	4399[e]	mə·le·ḵeṯ	מְלֶ֣אכֶת	the work	Noun
1 Chronicles	23	4	1004[e]	bêṯ-	בֵּית־	of the house	Noun
1 Chronicles	23	4	3068[e]	Yah·weh,	יְהוָ֔ה	of the LORD	Noun
1 Chronicles	23	4	6242[e]	‘eś·rîm	עֶשְׂרִ֥ים	twenty	Noun
1 Chronicles	23	4	702[e]	wə·’ar·bā·‘āh	וְאַרְבָּעָ֖ה	and four	Noun
1 Chronicles	23	4	505[e]	’ā·lep̄;	אָ֑לֶף	thousand	Noun
1 Chronicles	23	4	7860[e]	wə·šō·ṭə·rîm	וְשֹׁטְרִ֥ים	[were] and officers	Noun
1 Chronicles	23	4	8199[e]	wə·šō·p̄ə·ṭîm	וְשֹׁפְטִ֖ים	and judges	Verb
1 Chronicles	23	4	8337[e]	šê·šeṯ	שֵׁ֥שֶׁת	six	Noun
1 Chronicles	23	4	505[e]	’ă·lā·p̄îm.	אֲלָפִֽים׃	thousand	Noun
1 Chronicles	23	5	702[e]	wə·’ar·ba·‘aṯ	וְאַרְבַּ֥עַת	Moreover four	Noun
1 Chronicles	23	5	505[e]	’ă·lā·p̄îm	אֲלָפִ֖ים	thousand [were]	Noun
1 Chronicles	23	5	7778[e]	šō·‘ă·rîm;	שֹׁעֲרִ֑ים	porters	Noun
1 Chronicles	23	5	702[e]	wə·’ar·ba·‘aṯ	וְאַרְבַּ֤עַת	and four	Noun
1 Chronicles	23	5	505[e]	’ă·lā·p̄îm	אֲלָפִים֙	thousand	Noun
1 Chronicles	23	5	1984[e]	mə·hal·lîm	מְהַֽלְלִ֣ים	praised	Verb
1 Chronicles	23	5	3068[e]	Yah·weh,	לַיהוָ֔ה	the LORD	Noun
1 Chronicles	23	5	3627[e]	bak·kê·lîm	בַּכֵּלִ֕ים	with the instruments	Noun
1 Chronicles	23	5	834[e]	’ă·šer	אֲשֶׁ֥ר	that	Prt
1 Chronicles	23	5	6213[e]	‘ā·śî·ṯî	עָשִׂ֖יתִי	I made	Verb
1 Chronicles	23	5	1984[e]	lə·hal·lêl.	לְהַלֵּֽל׃	for giving	Verb
