Book Name	Chapter	Verse	Strong Number	Hebrew Eng	Hebrew	Eng Word	Word Type
1 Chronicles	8	1	1144[e]	ū·ḇin·yā·min,	וּבִ֨נְיָמִ֔ן	Now Benjamin	Noun
1 Chronicles	8	1	3205[e]	hō·w·lîḏ	הוֹלִ֖יד	fathered	Verb
1 Chronicles	8	1	853[e]	’eṯ-	אֶת־	 - 	Acc
1 Chronicles	8	1	1106[e]	be·la‘	בֶּ֣לַע	Bela	Noun
1 Chronicles	8	1	1060[e]	bə·ḵō·rōw;	בְּכֹר֑וֹ	his firstborn	Noun
1 Chronicles	8	1	788[e]	’aš·bêl	אַשְׁבֵּל֙	Ashbel	Noun
1 Chronicles	8	1	8145[e]	haš·šê·nî,	הַשֵּׁנִ֔י	the second	Noun
1 Chronicles	8	1	315[e]	wə·’aḥ·raḥ	וְאַחְרַ֖ח	and the Aharah	Noun
1 Chronicles	8	1	7992[e]	haš·šə·lî·šî.	הַשְּׁלִישִֽׁי׃	third	Adj
1 Chronicles	8	2	5119[e]	nō·w·ḥāh	נוֹחָה֙	the Nohah	Noun
1 Chronicles	8	2	7243[e]	hā·rə·ḇî·‘î,	הָֽרְבִיעִ֔י	fourth	Adj
1 Chronicles	8	2	7498[e]	wə·rā·p̄ā	וְרָפָ֖א	and the Rapha	Noun
1 Chronicles	8	2	2549[e]	ha·ḥă·mî·šî.	הַחֲמִישִֽׁי׃	fifth	Adj
1 Chronicles	8	2		s	ס	 - 	 
1 Chronicles	8	3	1961[e]	way·yih·yū	וַיִּהְי֥וּ	And were	Verb
1 Chronicles	8	3	1121[e]	ḇā·nîm	בָנִ֖ים	the sons	Noun
1 Chronicles	8	3	1106[e]	lə·ḇā·la‘;	לְבָ֑לַע	of Bela	Noun
1 Chronicles	8	3	146[e]	’ad·dār	אַדָּ֥ר	Addar	Noun
1 Chronicles	8	3	1617[e]	wə·ḡê·rā	וְגֵרָ֖א	and Gera	Noun
1 Chronicles	8	3	31[e]	wa·’ă·ḇî·hūḏ.	וַאֲבִיהֽוּד׃	and Abihud	Noun
1 Chronicles	8	4	50[e]	wa·’ă·ḇî·šū·a‘	וַאֲבִישׁ֥וּעַ	And Abishua	Noun
1 Chronicles	8	4	5283[e]	wə·na·‘ă·mān	וְנַעֲמָ֖ן	and Naaman	Noun
1 Chronicles	8	4	265[e]	wa·’ă·ḥō·w·aḥ.	וַאֲחֽוֹחַ׃	and Ahoah	Noun
1 Chronicles	8	5	1617[e]	wə·ḡê·rā	וְגֵרָ֥א	And Gera	Noun
1 Chronicles	8	5	8197[e]	ū·šə·p̄ū·p̄ān	וּשְׁפוּפָ֖ן	and Shephuphan	Noun
1 Chronicles	8	5	2361[e]	wə·ḥū·rām.	וְחוּרָֽם׃	and Huram	Noun
1 Chronicles	8	6	428[e]	wə·’êl·leh	וְאֵ֖לֶּה	And these [are]	Pro
1 Chronicles	8	6	1121[e]	bə·nê	בְּנֵ֣י	the sons	Noun
1 Chronicles	8	6	261[e]	’ê·ḥūḏ;	אֵח֑וּד	of Ehud	Noun
1 Chronicles	8	6	428[e]	’êl·leh	אֵ֣לֶּה	these	Pro
1 Chronicles	8	6	1992[e]	hêm	הֵ֞ם	like	Pro
1 Chronicles	8	6	7218[e]	rā·šê	רָאשֵׁ֤י	are the heads	Noun
