Key	Pronunciation	Lexeme	Transliteration	Definition	StrongsNumber
g498	an-tee-tas'-som-ahee	ἀντιτάσσομαι	antitássomai	[ἀντιτάσσομαι] from {{g473}} and the middle voice of {{g5021}}; to range oneself against, i.e. oppose	g498
g499	an-teet'-oo-pon	ἀντίτυπον	antítypon	"[ἀντίτυπον] neuter of a compound of {{g473}} and {{g5179}}; corresponding (""antitype""), i.e. a representative, counterpart"	g499
g492	an-tee-par-er'-khom-ahee	ἀντιπαρέρχομαι	antiparérchomai	[ἀντιπαρέρχομαι] from {{g473}} and {{g3928}}; to go along opposite	g492
g493	an-tee'-pas	Ἀντίπας	Antípas	[Ἀντίπας] contracted for a compound of {{g473}} and a derivative of {{g3962}}; Antipas, a Christian	g493
g490	an-tee-okh'-i-ah	Ἀντιόχεια	Antiócheia	[Ἀντιόχεια] from Ἀντίοχυς (a Syrian king); Antiochia, a place in Syria	g490
g491	an-tee-okh-yoos'	Ἀντιοχεύς	Antiocheús	[Ἀντιοχεύς] from {{g490}}; an Antiochian or inhabitant of Antiochia	g491
g496	an-tee-pip'-to	ἀντιπίπτω	antipíptō	[ἀντιπίπτω] from {{g473}} and {{g4098}} (including its alternate); to oppose	g496
g497	an-tee-strat-yoo'-om-ahee	ἀντιστρατεύομαι	antistrateúomai	[ἀντιστρατεύομαι] from {{g473}} and {{g4754}}; (figuratively) to attack, i.e. (by implication) destroy	g497
g494	an-tip-at-rece'	Ἀντιπατρίς	Antipatrís	[Ἀντιπατρίς] from the same as {{g493}}; Antipatris, a place in Palestine	g494
g495	an-tee-per'-an	ἀντιπέραν	antipéran	[ἀντιπέραν] from {{g473}} and {{g4008}}; on the opposite side	g495
g412	an-ek-lal'-ay-tos	ἀνεκλάλητος	aneklálētos	[ἀνεκλάλητος] from {{g1}} (as a negative particle) and a presumed derivative of {{g1583}}; not spoken out, i.e. (by implication) unutterable	g412
g413	an-ek'-lipe-tos	ἀνέκλειπτος	anékleiptos	[ἀνέκλειπτος] from {{g1}} (as a negative particle) and a presumed derivative of {{g1587}}; not left out, i.e. (by implication) inexhaustible	g413
g410	an-eng'-klay-tos	ἀνέγκλητος	anénklētos	[ἀνέγκλητος] from {{g1}} (as a negative particle) and a derivative of {{g1458}}; unaccused, i.e. (by implication) irreproachable	g410
g411	an-ek-dee-ay'-gay-tos	ἀνεκδιήγητος	anekdiḗgētos	[ἀνεκδιήγητος] from {{g1}} (as a negative particle) and a presumed derivative of {{g1555}}; not expounded in full, i.e. indescribable	g411
g416	an-em-id'-zo	ἀνεμίζω	anemízō	[ἀνεμίζω] from {{g417}}; to toss with the wind	g416
g417	an'-em-os	ἄνεμος	ánemos	[ἄνεμος] from the base of {{g109}}; wind; (plural) by implication, (the four) quarters (of the earth)	g417
g414	an-ek-tot'-er-os	ἀνεκτότερος	anektóteros	[ἀνεκτότερος] comparative of a derivative of {{g430}}; more endurable	g414
g415	an-eleh-ay'-mone	ἀνελεήμων	aneleḗmōn	[ἀνελεήμων] from {{g1}} (as a negative particle) and {{g1655}}; merciless	g415
g418	an-en'-dek-tos	ἀνένδεκτος	anéndektos	[ἀνένδεκτος] from {{g1}} (as a negative particle) and a derivative of the same as {{g1735}}; unadmitted, i.e. (by implication) not supposable	g418
g419	an-ex-er-yoo'-nay-tos	ἀνεξερεύνητος	anexereúnētos	[ἀνεξερεύνητος] from {{g1}} (as a negative particle) and a presumed derivative of {{g1830}}; not searched out, i.e. (by implication) inscrutable	g419
g485	an-tee-log-ee'-ah	ἀντιλογία	antilogía	[ἀντιλογία] from a derivative of {{g483}}; dispute, disobedience	g485
g484	an-til'-ape-sis	ἀντίληψις	antílēpsis	[ἀντίληψις] from {{g482}}; relief	g484
g487	an-til'-oo-tron	ἀντίλυτρον	antílytron	[ἀντίλυτρον] from {{g473}} and {{g3083}}; a redemption-price	g487
