Key	Pronunciation	Lexeme	Transliteration	Definition	StrongsNumber
g2888	kos-mok-fat'-ore	κοσμοκράτωρ	kosmokrátōr	[κοσμοκράτωρ] from {{g2889}} and {{g2902}}; a world-ruler, an epithet of Satan	g2888
g2889	kos'-mos	κόσμος	kósmos	[κόσμος] probably from the base of {{g2865}}; orderly arrangement, i.e. decoration; by implication, the world (in a wide or narrow sense, including its inhabitants, literally or figuratively (morally))	g2889
g2880	kor-en'-noo-mee	κορέννυμι	korénnymi	[κορέννυμι] a primary verb; to cram, i.e. glut or sate	g2880
g2881	kor-in'-thee-os	Κορίνθιος	Korínthios	[Κορίνθιος] from {{g2882}}; a Corinthian, i.e. inhabitant of Corinth	g2881
g2882	kor'-in-thos	Κόρινθος	Kórinthos	[Κόρινθος] of uncertain derivation; Corinthus, a city of Greece	g2882
g2883	kor-nay'-lee-os	Κορνήλιος	Kornḗlios	[Κορνήλιος] of Latin origin; Cornelius, a Roman	g2883
g2884	kor'-os	κόρος	kóros	[κόρος] of Hebrew origin ({{h3734}}); a cor, i.e. a specific measure	g2884
g2885	kos-meh'-o	κοσμέω	kosméō	[κοσμέω] from {{g2889}}; to put in proper order, i.e. decorate (literally or figuratively); specially, to snuff (a wick)	g2885
g2886	kos-mee-kos'	κοσμικός	kosmikós	"[κοσμικός] from {{g2889}} (in its secondary sense); terrene (""cosmic""), literally (mundane) or figuratively (corrupt)"	g2886
g2887	kos'-mee-os	κόσμιος	kósmios	[κόσμιος] from {{g2889}} (in its primary sense); orderly, i.e. decorous	g2887
g2801	klas'-mah	κλάσμα	klásma	[κλάσμα] from {{g2806}}; a piece (bit)	g2801
g2802	klow'-day	Κλαύδη	Klaúdē	[Κλαύδη] of uncertain derivation; Claude, an island near Crete	g2802
g2803	klow-dee'-ah	Κλαυδία	Klaudía	[Κλαυδία] feminine of {{g2804}}; Claudia, a Christian woman	g2803
g2804	klow'-dee-os	Κλαύδιος	Klaúdios	[Κλαύδιος] of Latin origin; Claudius, the name of two Romans	g2804
