Key	Pronunciation	Lexeme	Transliteration	Definition	StrongsNumber
g3249				[ Not Used ]	g3249
g3248				[ Not Used ]	g3248
g3241				[ Not Used ]	g3241
g3240				[ Not Used ]	g3240
g3243				[ Not Used ]	g3243
g3242				[ Not Used ]	g3242
g3245				[ Not Used ]	g3245
g3244				[ Not Used ]	g3244
g3247				[ Not Used ]	g3247
g3246				[ Not Used ]	g3246
g3258				[ Not Used ]	g3258
g3259				[ Not Used ]	g3259
g3252				[ Not Used ]	g3252
g3253				[ Not Used ]	g3253
g3250				[ Not Used ]	g3250
g3251				[ Not Used ]	g3251
g3256				[ Not Used ]	g3256
g3257				[ Not Used ]	g3257
g3254				[ Not Used ]	g3254
g3255				[ Not Used ]	g3255
g3300				[ Not Used ]	g3300
g3267				[ Not Used ]	g3267
g3266				[ Not Used ]	g3266
g3265				[ Not Used ]	g3265
g3264				[ Not Used ]	g3264
g3263				[ Not Used ]	g3263
g3262				[ Not Used ]	g3262
g3261				[ Not Used ]	g3261
g3260				[ Not Used ]	g3260
g3269				[ Not Used ]	g3269
g3268				[ Not Used ]	g3268
g3205				[ Not Used ]	g3205
g3204				[ Not Used ]	g3204
g3207				[ Not Used ]	g3207
g3206				[ Not Used ]	g3206
g3201	mem'-fom-ahee	μέμφομαι	mémphomai	[μέμφομαι] middle voice of an apparently primary verb; to blame	g3201
g3203				[ Not Used ]	g3203
g3202	mem-psim'-oy-ros	μεμψίμοιρος	mempsímoiros	[μεμψίμοιρος] from a presumed derivative of {{g3201}} and μοῖρα (fate; akin to the base of {{g3313}}); blaming fate, i.e. querulous (discontented)	g3202
g3209				[ Not Used ]	g3209
g3208				[ Not Used ]	g3208
g3270				[ Not Used ]	g3270
g3271				[ Not Used ]	g3271
g3272				[ Not Used ]	g3272
g3273				[ Not Used ]	g3273
g3274				[ Not Used ]	g3274
g3275				[ Not Used ]	g3275
g3276				[ Not Used ]	g3276
g3277				[ Not Used ]	g3277
g3278				[ Not Used ]	g3278
g3279				[ Not Used ]	g3279
g3216				[ Not Used ]	g3216
g3217				[ Not Used ]	g3217
g3214				[ Not Used ]	g3214
g3215				[ Not Used ]	g3215
g3212				[ Not Used ]	g3212
g3213				[ Not Used ]	g3213
g3210				[ Not Used ]	g3210
g3211				[ Not Used ]	g3211
g3218				[ Not Used ]	g3218
g3219				[ Not Used ]	g3219
g3289				[ Not Used ]	g3289
g3288				[ Not Used ]	g3288
g3285				[ Not Used ]	g3285
g3284				[ Not Used ]	g3284
g3287				[ Not Used ]	g3287
g3286				[ Not Used ]	g3286
g3281				[ Not Used ]	g3281
g3280				[ Not Used ]	g3280
g3283				[ Not Used ]	g3283
g3282				[ Not Used ]	g3282
g3223				[ Not Used ]	g3223
g3222				[ Not Used ]	g3222
g3221				[ Not Used ]	g3221
g3220				[ Not Used ]	g3220
g3227				[ Not Used ]	g3227
g3226				[ Not Used ]	g3226
g3225				[ Not Used ]	g3225
g3224				[ Not Used ]	g3224
g3229				[ Not Used ]	g3229
g3228				[ Not Used ]	g3228
g3298				[ Not Used ]	g3298
g3299				[ Not Used ]	g3299
g3296				[ Not Used ]	g3296
g3297				[ Not Used ]	g3297
g3294				[ Not Used ]	g3294
g3295				[ Not Used ]	g3295
g3292				[ Not Used ]	g3292
g3293				[ Not Used ]	g3293
g3290				[ Not Used ]	g3290
g3291				[ Not Used ]	g3291
g3238				[ Not Used ]	g3238
g3239				[ Not Used ]	g3239
g3234				[ Not Used ]	g3234
g3235				[ Not Used ]	g3235
g3236				[ Not Used ]	g3236
g3237				[ Not Used ]	g3237
g3230				[ Not Used ]	g3230
g3231				[ Not Used ]	g3231
g3232				[ Not Used ]	g3232
g3233				[ Not Used ]	g3233
