Key	Pronunciation	Lexeme	Transliteration	Definition	StrongsNumber
g754	ar-khee-tel-o'-nace	ἀρχιτελώνης	architelṓnēs	[ἀρχιτελώνης] from {{g746}} and {{g5057}}; a principle tax-gatherer	g754
g757	ar'-kho	ἄρχω	árchō	[ἄρχω] a primary verb; to be first (in political rank or power)	g757
g756	ar'-khom-ahee	ἄρχομαι	árchomai	[ἄρχομαι] middle voice of {{g757}} (through the implication, of precedence); to commence (in order of time)	g756
g751	ar'-khip-pos	Ἄρχιππος	Árchippos	[Ἄρχιππος] from {{g746}} and {{g2462}}; horse-ruler; Archippus, a Christian	g751
g750	ar-khee-poy'-mane	ἀρχιποίμην	archipoímēn	[ἀρχιποίμην] from {{g746}} and {{g4166}}; a head shepherd	g750
g753	ar-khee-tek'-tone	ἀρχιτέκτων	architéktōn	"[ἀρχιτέκτων] from {{g746}} and {{g5045}}; a chief constructor, i.e. ""architect"""	g753
g752	ar-khee-soon-ag'-o-gos	ἀρχισυνάγωγος	archisynágōgos	[ἀρχισυνάγωγος] from {{g746}} and {{g4864}}; director of the synagogue services	g752
g728	ar-hrab-ohn'	ἀῤῥαβών	arrhabṓn	[ἀῤῥαβών] of Hebrew origin ({{h6162}}); a pledge, i.e. part of the purchase-money or property given in advance as security for the rest	g728
g729	ar'-hhraf-os	ἄῤῥαφος	árrhaphos	[ἄῤῥαφος] from {{g1}} (as a negative particle) and a presumed derivative of the same as {{g4476}}; unsewed, i.e. of a single piece	g729
g720	ar-neh'-om-ahee	ἀρνέομαι	arnéomai	[ἀρνέομαι] perhaps from {{g1}} (as a negative particle) and the middle voice of {{g4483}}; to contradict, i.e. disavow, reject, abnegate	g720
g721	ar-nee'-on	ἀρνίον	arníon	[ἀρνίον] diminutive from {{g704}}; a lambkin	g721
g722	ar-ot-ree-o'-o	ἀροτριόω	arotrióō	[ἀροτριόω] from {{g723}}; to plow	g722
g723	ar'-ot-ron	ἄροτρον	árotron	[ἄροτρον] from ἀρόω (to till); a plow	g723
g724	har-pag-ay'	ἁρπαγή	harpagḗ	[ἁρπαγή] from {{g726}}; pillage (properly abstract)	g724
g725	har-pag-mos'	ἁρπαγμός	harpagmós	[ἁρπαγμός] from {{g726}}; plunder (properly concrete)	g725
g726	har-pad'-zo	ἁρπάζω	harpázō	[ἁρπάζω] from a derivative of {{g138}}; to seize (in various applications)	g726
g727	har'-pax	ἅρπαξ	hárpax	[ἅρπαξ] from {{g726}}; rapacious	g727
