Key	Pronunciation	Lexeme	Transliteration	Definition	StrongsNumber
h3198	yaw-kahh'	יָכַח	yâkach	a primitive root; to be right (i.e. correct); reciprocal, to argue; causatively, to decide, justify or convict; appoint, argue, chasten, convince, correct(-ion), daysman, dispute, judge, maintain, plead, reason (together), rebuke, reprove(-r), surely, in any wise.	h3198
h3199	yaw-keen'	יָכִין	Yâkîyn	from {{h3559}}; he (or it) will establish; Jakin, the name of three Israelites and of a temple pillar; Jachin.	h3199
h3196	yah'-yin	יַיִן	yayin	from an unused root meaning to effervesce; wine (as fermented); by implication, intoxication; banqueting, wine, wine(-bibber).	h3196
h3197	yak	יַךְ	yak	by erroneous transcription for {{h3027}}; a hand or side; (way-) side.	h3197
h3194	yoo-taw'	יֻטָּה	Yuṭṭâh	or יוּטָה; from {{h5186}}; extended; Juttah (or Jutah), a place in Palestine; Juttah.	h3194
h3195	yet-oor'	יְטוּר	Yᵉṭûwr	probably from the same as {{h2905}}; encircled (i.e. inclosed); Jetur, a son of Ishmael; Jetur.	h3195
h3192	yot-baw'	יׇטְבָה	Yoṭbâh	from {{h3190}}; pleasantness; Jotbah, a place in Palestine; Jotbah.	h3192
h3193	yot-baw'-thaw	יׇטְבָתָה	Yoṭbâthâh	from {{h3192}}; Jotbathah, a place in the Desert; Jotbath, Jotbathah.	h3193
h3190	yaw-tab'	יָטַב	yâṭab	a primitive root; to be (causative) make well, literally (sound, beautiful) or figuratively (happy, successful, right); be accepted, amend, use aright, benefit, be (make) better, seem best, make cheerful, be comely,   be content, diligent(-ly), dress, earnestly, find favour, give, be glad, do (be, make) good(-ness), be (make) merry, please (  well), shew more (kindness), skilfully, × very small, surely, make sweet, thoroughly, tire, trim, very, be (can, deal, entreat, go, have) well (said, seen).	h3190
h3191	yet-ab'	יְטַב	yᵉṭab	(Aramaic) corresponding to {{h3190}}; seem good.	h3191
h3116	yoo-kal'	יוּכַל	Yûwkal	a form of {{h3081}}; Jukal, an Israelite; Jucal.	h3116
h3117	yome	יוֹם	yôwm	from an unused root meaning to be hot; a day (as the warm hours), whether literal (from sunrise to sunset, or from one sunset to the next), or figurative (a space of time defined by an associated term), (often used adverb); age,   always,   chronicals, continually(-ance), daily, ((birth-), each, to) day, (now a, two) days (agone),   elder, × end,   evening,   (for) ever(-lasting, -more), × full, life, as (so) long as (... live), (even) now,   old,   outlived,   perpetually, presently,   remaineth, × required, season, × since, space, then, (process of) time,   as at other times,   in trouble, weather, (as) when, (a, the, within a) while (that), × whole (  age), (full) year(-ly),   younger.	h3117
h3114	yo-yaw-reeb'	יוֹיָרִיב	Yôwyârîyb	a form of {{h3080}}; Jojarib, the name of four Israelites; Joiarib.	h3114
h3115	yo-keh'-bed	יוֹכֶבֶד	Yôwkebed	from {{h3068}} contracted and {{h3513}}; Jehovah-gloried; Jokebed, the mother of Moses; Jochebed.	h3115
h3112	yo-yaw-keen'	יוֹיָכִין	Yôwyâkîyn	a form of {{h3078}}; Jojakin, an Israelite king; Jehoiachin.	h3112
h3113	yo-yaw-keem'	יוֹיָקִים	Yôwyâqîym	a form of {{h3079}}; Jojakim, an Israelite; Joiakim. Compare {{h3137}}.	h3113
