Key	Pronunciation	Lexeme	Transliteration	Definition	StrongsNumber
h3110	yo-khaw-nawn'	יוֹחָנָן	Yôwchânân	a form of {{h3076}}; Jochanan, the name of nine Israelites; Johanan.	h3110
h3111	yo-yaw-daw'	יוֹיָדָע	Yôwyâdâʻ	a form of {{h3077}}; Jojada, the name of two Israelites; Jehoiada, Joiada.	h3111
h3118	yome	יוֹם	yôwm	(Aramaic) corresponding to {{h3117}}; a day; day (by day), time.	h3118
h3119	yo-mawm'	יוֹמָם	yôwmâm	from {{h3117}}; daily; daily, (by, in the) day(-time).	h3119
h3200	yaw-kee-nee'	יָכִינִי	Yâkîynîy	patronymically from {{h3199}}; a Jakinite (collectively) or descendants of Jakin; Jachinites.	h3200
h3123	yo-naw'	יוֹנָה	yôwnâh	probably from the same as {{h3196}}; a dove (apparently from the warmth of their mating); dove, pigeon.	h3123
h3122	yo-naw-dawb'	יוֹנָדָב	Yôwnâdâb	a form of {{h3082}}; Jonadab, the name of an Israelite and of a Rechabite; Jonadab.	h3122
h3121	yaw-ven'	יָוֵן	yâvên	from the same as {{h3196}}; properly, dregs (as effervescing); hence, mud; mire, miry.	h3121
h3120	yaw-vawn'	יָוָן	Yâvân	probably from the same as {{h3196}}; effervescing (i.e. hot and active); Javan, the name of a son of Joktan, and of the race (Ionians, i.e. Greeks) descended from him, with their territory; also of a place in Arabia; Javan.	h3120
h3127	yo-neh'-keth	יוֹנֶקֶת	yôwneqeth	feminine of {{h3126}}; a sprout; (tender) branch, young twig.	h3127
h3126	yo-nake'	יוֹנֵק	yôwnêq	active participle of {{h3243}}; a sucker; hence, a twig (of a tree felled and sprouting); tender plant.	h3126
h3125	yev-aw-nee'	יְוָנִי	Yᵉvânîy	patronymically from {{h3121}}; a Jevanite, or descendant of Javan; Grecian.	h3125
h3124	yo-naw'	יוֹנָה	Yôwnâh	the same as {{h3123}}; Jonah, an Israelite; Jonah.	h3124
h3129	yo-naw-thawn'	יוֹנָתָן	Yôwnâthân	a form of {{h3083}}; Jonathan, the name of ten Israelites; Jonathan.	h3129
h3128	yo-nath' ay'-lem rekh-o-keem'	יוֹנַת אֵלֶם רְחֹקִים	yôwnath ʼêlem rᵉchôqîym	from {{h3123}} and {{h482}} and the plural of {{h7350}}; dove of (the) silence (i.e. dumb Israel) of (i.e. among) distances (i.e. strangers); the title of a ditty (used for a name of its melody); Jonath-elem-rechokim.	h3128
h3138	yo-reh'	יוֹרֶה	yôwreh	active participle of {{h3384}}; sprinkling; hence, a sprinkling (or autumnal showers); first rain, former (rain).	h3138
h3139	yo-raw'	יוֹרָה	Yôwrâh	from {{h3384}}; rainy; Jorah, an Israelite; Jorah.	h3139
h3134	yo-eh'-zer	יוֹעֶזֶר	Yôwʻezer	from {{h3068}} and {{h5828}}; Jehovah (is his) help; Joezer, an Israelite; Joezer.	h3134
h3135	yo-awsh'	יוֹעָשׁ	Yôwʻâsh	from {{h3068}} and {{h5789}}; Jehovahhastened; Joash, the name of two Israelites; Joash.	h3135
h3136	yo-tsaw-dawk'	יוֹצָדָק	Yôwtsâdâq	a form of {{h3087}}; Jotsadak, an Israelite; Jozadak.	h3136
h3137	yo-keem'	יוֹקִים	Yôwqîym	a form of {{h3113}}; Jokim, an Israelite; Jokim.	h3137
h3130	yo-safe'	יוֹסֵף	Yôwçêph	future of {{h3254}}; let him add (or perhaps simply active participle adding); Joseph, the name of seven Israelites; Joseph. Compare {{h3084}}.	h3130
h3131	yo-sif-yaw'	יוֹסִפְיָה	Yôwçiphyâh	from active participle of {{h3254}} and {{h3050}}; Jah (is) adding; Josiphjah, an Israelite; Josiphiah.	h3131
h3132	yo-ay-law'	יוֹעֵאלָה	Yôwʻêʼlâh	perhaps feminine active participle of {{h3276}}; furthermore; Joelah, an Israelite; Joelah.	h3132
h3133	yo-ade'	יוֹעֵד	Yôwʻêd	apparently the active participle of {{h3259}}; appointer; Joed, an Israelite; Joed.	h3133
h3149	yez-av-ale'	יְזַוְאֵל	Yᵉzavʼêl	from an unused root (meaning to sprinkle) and {{h410}}; sprinkled of God; Jezavel, an Israelite; Jeziel (from the margin).	h3149
h3148	yo-thare'	יוֹתֵר	yôwthêr	active participle of {{h3498}}; properly, redundant; hence, over and above, as adjective, noun, adverb or conjunction; better, more(-over), over, profit.	h3148
h3141	yo-rawm'	יוֹרָם	Yôwrâm	a form of {{h3088}}; Joram, the name of three Israelites and one Syrian; Joram.	h3141
h3140	yo-rah'-ee	יוֹרַי	Yôwray	from {{h3384}}; rainy; Jorai, an Israelite; Jorai.	h3140
h3143	yo-shi-yaw'	יוֹשִׁבְיָה	Yôwshibyâh	from {{h3427}} and {{h3050}}; Jehovah will cause to dwell; Josibjah, an Israelite; Josibiah.	h3143
h3142	yoo-shab' kheh'-sed	יוּשַׁב חֶסֶד	Yûwshab Cheçed	from {{h7725}} and {{h2617}}; kindness will be returned; Jushab-Chesed, an Israelite; Jushab-hesed.	h3142
h3145	yo-shav-yaw'	יוֹשַׁוְיָה	Yôwshavyâh	from {{h3068}} and {{h7737}}; Jehovah-set; Joshavjah, an Israelite; Joshaviah. Compare {{h3144}}.	h3145
h3144	yo-shaw'	יוֹשָׁה	Yôwshâh	probably a form of {{h3145}}; Joshah, an Israelite; Joshah.	h3144
h3147	yo-thawm'	יוֹתָם	Yôwthâm	from {{h3068}} and {{h8535}}; Jehovah (is) perfect; Jotham, the name of three Israelites; Jotham.	h3147
h3146	yo-shaw-fawt'	יוֹשָׁפָט	Yôwshâphâṭ	a form of {{h3092}}; Joshaphat, an Israelite; Joshaphat.	h3146
h3158	yiz-reh-ay-lee'	יִזְרְעֵאלִי	Yizrᵉʻêʼlîy	patronymically from {{h3157}}; a Jizreelite or native of Jizreel; Jezreelite.	h3158
h3159	yiz-reh-ay-leeth'	יִזְרְעֵאלִית	Yizrᵉʻêʼlîyth	feminine of {{h3158}}; a Jezreelitess; Jezreelitess.	h3159
h3152	yiz-lee-aw'	יִזְלִיאָה	Yizlîyʼâh	perhaps from an unused root (meaning to draw up); he will draw out; Jizliah, an Israelite; Jezliah.	h3152
h3153	yez-an-yaw'	יְזַנְיָה	Yᵉzanyâh	or יְזַנְיָהוּ; probably for {{h2970}}; Jezanjah, an Israelite; Jezaniah.	h3153
h3150	yiz-zee-yaw'	יִזִּיָּה	Yizzîyâh	from the same as the first part of {{h3149}} and {{h3050}}; sprinkled of Jah; Jizzijah, an Israelite; Jeziah.	h3150
h3151	yaw-zeez'	יָזִיז	Yâzîyz	from the same as {{h2123}}; he will make prominent; Jaziz, an Israelite; Jaziz.	h3151
h3156	yiz-rakh-yaw'	יִזְרַחְיָה	Yizrachyâh	from {{h2224}} and {{h3050}}; Jah will shine; Jizrachjah, the name of two Israelites; Izrahiah, Jezrahiah.	h3156
h3157	yiz-reh-ale'	יִזְרְעֵאל	Yizrᵉʻêʼl	from {{h2232}} and {{h410}}; God will sow; Jizreel, the name of two places in Palestine and of two Israelites; Jezreel.	h3157
h3154	yeh'-zah	יֶזַע	yezaʻ	from an unused root mean to ooze; sweat, i.e. (by implication) a sweating dress; any thing that causeth sweat.	h3154
h3155	yiz-rawkh'	יִזְרָח	Yizrâch	a variation for {{h250}}; a Jizrach (i.e. Ezrachite or Zarchite) or descendant of Zerach; Izrahite.	h3155
h3167	yakh-zeh-yaw'	יַחְזְיָה	Yachzᵉyâh	from {{h2372}} and {{h3050}}; Jah will behold; Jachzejah, an Israelite; Jahaziah.	h3167
h3166	yakh-az-ee-ale'	יַחֲזִיאֵל	Yachăzîyʼêl	from {{h2372}} and {{h410}}; beheld of God; Jachaziel, the name of five Israelites; Jahaziel, Jahziel.	h3166
h3165	yekh-dee-yaw'-hoo	יֶחְדִּיָּהוּ	Yechdîyâhûw	from {{h3162}} and {{h3050}}; unity of Jah; Jechdijah, the name of two Israelites; Jehdeiah.	h3165
h3164	yakh-dee-ale'	יַחְדִּיאֵל	Yachdîyʼêl	from {{h3162}} and {{h410}}; unity of God; Jachdiel, an Israelite; Jahdiel.	h3164
h3163	yakh-doe'	יַחְדוֹ	Yachdôw	from {{h3162}} with pronominal suffix; his unity, i.e. (adverb) together; Jachdo, an Israelite; Jahdo.	h3163
h3162	yakh'-ad	יַחַד	yachad	from {{h3161}}; properly, a unit, i.e. (adverb) unitedly; alike, at all (once), both, likewise, only, (al-) together, withal.	h3162
h3161	yaw-khad'	יָחַד	yâchad	a primitive root; to be (or become) one; join, unite.	h3161
h3160	yekh-oob-baw'	יְחֻבָּה	Yᵉchubbâh	from {{h2247}}; hidden; Jechubbah, an Israelite; Jehubbah.	h3160
h3169	yekh-iz-kee-yaw'	יְחִזְקִיָּה	Yᵉchizqîyâh	or יְחִזְקִיָּהוּ; from {{h3388}} and {{h3050}}; strengthened of Jah; Jechizkijah, the name of five Israelites; Hezekiah, Jehizkiah. Compare {{h2396}}.	h3169
h3168	yekh-ez-kale'	יְחֶזְקֵאל	Yᵉchezqêʼl	from {{h2388}} and {{h410}}; God will strengthen; Jechezkel, the name of two Israelites; Ezekiel, Jehezekel.	h3168
h3170	yakh-zay-raw'	יַחְזֵרָה	Yachzêrâh	from the same as {{h2386}}; perhaps protection; Jachzerah, an Israelite; Jahzerah.	h3170
h3171	yekh-ee-ale'	יְחִיאֵל	Yᵉchîyʼêl	or (2 Chronicles 29:14) יְחַוְאֵל; from {{h2421}} and {{h410}}; God will live; Jechiel (or Jechavel), the name of eight Israelites; Jehiel.	h3171
h3172	yekh-ee-ay-lee'	יְחִיאֵלִי	Yᵉchîyʼêlîy	patronymically from {{h3171}}; a Jechielite or descendant of Jechiel; Jehieli.	h3172
h3173	yaw-kheed'	יָחִיד	yâchîyd	from {{h3161}}; properly, united, i.e. sole; by implication, beloved; also lonely; (feminine) the life (as not to be replaced); darling, desolate, only (child, son), solitary.	h3173
h3174	yekh-ee-yaw'	יְחִיָּה	Yᵉchîyâh	from {{h2421}} and {{h3050}}; Jah will live; Jechijah, an Israelite; Jehiah.	h3174
h3175	yaw-kheel'	יָחִיל	yâchîyl	from {{h3176}}; expectant; should hope.	h3175
h3176	yaw-chal'	יָחַל	yâchal	a primitive root; to wait; by implication, to be patient, hope; (cause to, have, make to) hope, be pained, stay, tarry, trust, wait.	h3176
h3177	yakh-leh-ale'	יַחְלְאֵל	Yachlᵉʼêl	from {{h3176}} and {{h410}}; expectant of God; Jachleel, an Israelite; Jahleel.	h3177
h3178	yakh-leh-ay-lee'	יַחְלְאֵלִי	Yachlᵉʼêlîy	patronymically from {{h3177}}; a Jachleelite or descendant of Jachleel; Jahleelites.	h3178
h3179	yaw-kham'	יָחַם	yâcham	a primitive root; probably to be hot; figuratively, to conceive; get heat, be hot, conceive, be warm.	h3179
h3189	yakh'-ath	יַחַת	Yachath	from {{h3161}}; unity; Jachath, the name of four Israelites; Jahath.	h3189
h3188	yakh'-as	יַחַשׂ	yachas	from {{h3187}}; a pedigree or family list (as growing spontaneously); genealogy.	h3188
h3185	yakh-tsee-ale'	יַחְצִיאֵל	Yachtsîyʼêl	from {{h2673}} and {{h410}}; allotted of God; Jachtsiel, an Israelite; Jahziel. Compare {{h3183}}.	h3185
h3184	yakh-tseh-ay-lee'	יַחְצְאֵלִי	Yachtsᵉʼêlîy	patronymically from {{h3183}}; a Jachtseelite (collectively) or descendants of Jachtseel; Jahzeelites.	h3184
h3187	yaw-khas'	יָחַשׂ	yâchas	a primitive root; to sprout; used only as denominative from {{h3188}}; to enroll by pedigree; (number after, number throughout the) genealogy (to be reckoned), be reckoned by genealogies.	h3187
h3186	yaw-khar'	יָחַר	yâchar	a primitive root; to delay; tarry longer.	h3186
h3181	yakh-mah'-ee	יַחְמַי	Yachmay	probably from {{h3179}}; hot; Jachmai, an Israelite; Jahmai.	h3181
h3180	yakh-moor'	יַחְמוּר	yachmûwr	from {{h2560}}; a kind of deer; fallow deer.	h3180
h3183	yakh-tseh-ale'	יַחְצְאֵל	Yachtsᵉʼêl	from {{h2673}} and {{h410}}; God will allot; Jachtseel, an Israelite; Jahzeel. Compare {{h3185}}.	h3183
h3182	yaw-khafe'	יָחֵף	yâchêph	from an unused root meaning to take off the shoes; unsandalled; barefoot, being unshod.	h3182
h3105	yoo-bal'	יוּבַל	yûwbal	from {{h2986}}; a stream; river.	h3105
h3104	yo-bale'	יוֹבֵל	yôwbêl	or יֹבֵל; apparently from {{h2986}}; the blast of a horn (from its continuous sound); specifically, the signal of the silver trumpets; hence, the instrument itself and the festival thus introduced; jubile, ram's horn, trumpet.	h3104
h3107	yo-zaw-bawd'	יוֹזָבָד	Yôwzâbâd	a form of {{h3075}}; Jozabad, the name of ten Israelites; Josabad, Jozabad.	h3107
h3106	yoo-bawl'	יוּבַל	Yûwbal	from {{h2986}}; stream; Jubal, an antediluvian; Jubal.	h3106
h3101	yo-awsh'	יוֹאָשׁ	Yôwʼâsh	or יֹאָשׁ; (2 Chronicles 24:1), a form of {{h3060}}; Joash, the name of six Israelites; Joash.	h3101
h3103	yo-bawb'	יוֹבָב	Yôwbâb	from {{h2980}}; howler; Jobab, the name of two Israelites and of three foreigners; Jobab.	h3103
h3102	yobe	יוֹב	Yôwb	perhaps a form of {{h3103}}, but more probably by erroneous transcription for {{h3437}}; Job, an Israelite; Job.	h3102
h3109	yo-khaw'	יוֹחָא	Yôwchâʼ	probably from {{h3068}} and a variation of {{h2421}}; Jehovah-revived; Jocha, the name of two Israelites; Joha.	h3109
h3108	yo-zaw-kawr'	יוֹזָכָר	Yôwzâkâr	from {{h3068}} and {{h2142}}; Jehovah-remembered; Jozacar, an Israelite; Jozachar.	h3108
