Key	Pronunciation	Lexeme	Transliteration	Definition	StrongsNumber
h1262	baw-raw'	בָּרָה	bârâh	a primitive root; to select; also (as denominative from {{h1250}}) to feed; also (as equivalent to {{h1305}}) to render clear (Ecclesiastes 3:18); to select; to feed; to render clear; choose, (cause to) eat, manifest, (give) meat.	h1262
h1263	baw-rook'	בָּרוּךְ	Bârûwk	passive participle from {{h1288}}; blessed; Baruk, the name of three Israelites; Baruch.	h1263
h1260	beh'red	בֶּרֶד	Bered	from {{h1258}}; hail; Bered, the name of a place south of Palestine, also of an Israelite; Bered.	h1260
h1261	baw-rode'	בָּרֹד	bârôd	from {{h1258}}; spotted (as if with hail); grisled.	h1261
h1266	ber-oth'	בְּרוֹת	bᵉrôwth	a variation of {{h1265}}; the cypress (or some elastic tree); fir.	h1266
h1267	baw-rooth	בָּרוּת	bârûwth	from {{h1262}}; food; meat.	h1267
h1264	ber-ome'	בְּרוֹם	bᵉrôwm	probably of foreign origin; damask (stuff of variegated thread); rich apparel.	h1264
h1265	ber-osh'	בְּרוֹשׁ	bᵉrôwsh	of uncertain derivation; a cypress (?) tree; hence, a lance or a musical instrument (as made of that wood); fir (tree).	h1265
h1268	bay-ro-thaw'	בֵּרוֹתָה	Bêrôwthâh	or בֵּרֹתַי; probably from {{h1266}}; cypress or cypresslike; Berothah or Berothai, a place north of Palestine; Berothah, Berothai.	h1268
h1269	beer-zoth'	בִּרְזוֹת	Birzôwth	probably feminine plural from an unused root (apparently mean to pierce); holes; Birzoth, an Israelite; Birzavith (from the marg.).	h1269
h1300	baw-rawk'	בָּרָק	bârâq	from {{h1299}}; lightning; by analogy, a gleam; concretely, a flashing sword; bright, glitter(-ing sword), lightning.	h1300
h1259	baw-rawd'	בָּרָד	bârâd	from {{h1258}}; hail; hail(stones).	h1259
h1258	baw-rad'	בָּרַד	bârad	a primitive root,; to hail; hail.	h1258
h1257	bar-boor'	בַּרְבֻּר	barbur	by reduplication from {{h1250}}; a fowl (as fattened on grain); fowl.	h1257
h1256	ber-aw-yaw'	בְּרָאיָה	Bᵉrâʼyâh	from {{h1254}} and {{h8050}}; Jah has created; Berajah, an Israelite; Beraiah.	h1256
h1255	ber-o-dak' bal-ad-awn'	בְּרֹאדַךְ בַּלְאֲדָן	Bᵉrôʼdak Balʼădân	a variation of {{h4757}}; Berodak-Baladan, a Babylonian king; Berodach-baladan.	h1255
h1254	baw-raw'	בָּרָא	bârâʼ	a primitive root; (absolutely) to create; (qualified) to cut down (a wood), select, feed (as formative processes); choose, create (creator), cut down, dispatch, do, make (fat).	h1254
h1253	bore	בֹּר	bôr	the same as {{h1252}}; vegetable lye (from its cleansing); used as a soap for washing, or a flux for metals; × never so, purely.	h1253
