Key	Pronunciation	Lexeme	Transliteration	Definition	StrongsNumber
h2747	kheh'-ret	חֶרֶט	chereṭ	from a primitive root meaning to engrave; a chisel or graver; also a style for writing; graving tool, pen.	h2747
h2739	khar-oo-maf'	חֲרוּמַף	chărûwmaph	from passive participle of {{h2763}} and {{h639}}; snub-nosed; Charumaph, an Israelite; Harumaph.	h2739
h2738	khaw-rool'	חָרוּל	chârûwl	or (shortened) חָרֻל; apparently, a passive participle of an unused root probably meaning to be prickly; properly, pointed, i.e. a bramble or other thorny weed; nettle.	h2738
h2735	khore hag-ghid-gawd'	חֹר הַגִּדְגָּד	Chôr hag-Gidgâd	from {{h2356}} and a collateral (masculine) form of {{h1412}}, with the article interposed; hole of the cleft; Chor-hag-Gidgad, a place in the Desert; Hor-hagidgad.	h2735
h2734	khaw-raw'	חָרָה	chârâh	a primitive root (compare {{h2787}}); to glow or grow warm; figuratively (usually) to blaze up, of anger, zeal, jealousy; be angry, burn, be displeased, × earnestly, fret self, grieve, be (wax) hot, be incensed, kindle, × very, be wroth. See {{h8474}}.	h2734
h2737	khaw-rooz'	חָרוּז	chârûwz	from an unused root meaning to perforate; properly, pierced, i.e. a bead of pearl, gems or jewels (as strung); chain.	h2737
h2736	khar-hah-yaw'	חַרְהֲיָה	Charhăyâh	; from {{h2734}} and {{h3050}}; fearing Jah; Charhajah, an Israelite; Harhaiah.	h2736
h2731	khar-aw-daw'	חֲרָדָה	chărâdâh	feminine of {{h2730}}; fear, anxiety; care, × exceedingly, fear, quaking, trembling.	h2731
h2730	khaw-rade'	חָרֵד	chârêd	from {{h2729}}; fearful; also reverential; afraid, trembling.	h2730
h2733	khar-o-dee'	חֲרֹדִי	Chărôdîy	patrial from a derivative of {{h2729}} (compare {{h5878}}); a Charodite, or inhabitant of Charod; Harodite.	h2733
h2732	khar-aw-daw'	חֲרָדָה	Chărâdâh	the same as {{h2731}}; Charadah, a place in the Desert; Haradah.	h2732
h2728	khar-gole'	חָרְגֹּל	chârᵉgôl	from {{h2727}}; the leaping insect, i.e. a locust; beetle.	h2728
h2729	khaw-rad'	חָרַד	chârad	a primitive root; to shudder with terror; hence, to fear; also to hasten (with anxiety); be (make) afraid, be careful, discomfit, fray (away), quake, tremble.	h2729
h2726	khar-bo-naw'	חַרְבוֹנָא	Charbôwnâʼ	or חַרְבוֹנָה; of Persian origin; Charbona or Charbonah, a eunuch of Xerxes; Harbona, Harbonah.	h2726
h2727	khaw-rag'	חָרַג	chârag	a primitive root; properly, to leap suddenly, i.e. (by implication) to be dismayed; be afraid.	h2727
h2724	khaw-raw-baw'	חָרָבָה	chârâbâh	feminine of {{h2720}}; a desert; dry (ground, land).	h2724
h2725	khar-aw-bone'	חֲרָבוֹן	chărâbôwn	from {{h2717}}; parching heat; drought.	h2725
h2722	kho-rabe'	חֹרֵב	Chôrêb	from {{h2717}}; desolate; Choreb, a (generic) name for the Sinaitic mountains; Horeb.	h2722
h2723	khor-baw'	חׇרְבָּה	chorbâh	feminine of {{h2721}}; properly, drought, i.e. (by implication) a desolation; decayed place, desolate (place, -tion), destruction, (laid) waste (place).	h2723
h2720	khaw-rabe'	חָרֵב	chârêb	from {{h2717}}; parched or ruined; desolate, dry, waste.	h2720
h2721	kho'-reb	חֹרֶב	chôreb	a collaterally form of {{h2719}}; drought or desolation; desolation, drought, dry, heat, × utterly, waste.	h2721
h2800	khar-o'-sheth	חֲרֹשֶׁת	Chărôsheth	the same as {{h2799}}; Charosheth, a place in Palestine; Harosheth.	h2800
h2719	kheh'-reb	חֶרֶב	chereb	from {{h2717}}; drought; also a cutting instrument (from its destructive effect), as a knife, sword, or other sharp implement; axe, dagger, knife, mattock, sword, tool.	h2719
h2718	khar-ab'	חֲרַב	chărab	(Aramaic) a root corresponding to {{h2717}}; to demolish; destroy.	h2718
h2713	khaw-kar'	חָקַר	châqar	a primitive root; properly, to penetrate; hence, to examine intimately; find out, (make) search (out), seek (out), sound, try.	h2713
h2712	Khook-koke'	חֻקֹּק	Chuqqôq	or (fully) חוּקֹק; from {{h2710}}; appointed; Chukkok or Chukok, a place in Palestine; Hukkok, Hukok.	h2712
h2711	khay'-kek	חֵקֶק	chêqeq	from {{h2710}}; an enactment, a resolution; decree, thought.	h2711
h2710	khaw-kak'	חָקַק	châqaq	a primitive root; properly, to hack, i.e. engrave (Judges 5:14, to be a scribe simply); by implication, to enact (laws being cut in stone or metal tablets in primitive times) or (gen.) prescribe; appoint, decree, governor, grave, lawgiver, note, pourtray, print, set.	h2710
h2717	khaw-rab'	חָרַב	chârab	or חֲרֵב; a primitive root; to parch (through drought) i.e. (by analogy,) to desolate, destroy, kill; decay, (be) desolate, destroy(-er), (be) dry (up), slay, × surely, (lay, lie, make) waste.	h2717
h2716	kheh'-reh	חֶרֶא	chereʼ	from an unused (and vulgar) root probably meaning to evacuate the bowels; excrement; dung. Also חֲרִי.	h2716
h2715	khore	חֹר	chôr	or (fully) חוֹר; from {{h2787}}; (compare {{h2751}}); properly, white or pure (from the cleansing or shining power of fire); hence (figuratively) noble (in rank); noble.	h2715
h2714	khay'-ker	חֵקֶר	chêqer	from {{h2713}}; examination, enumeration, deliberation; finding out, number, (un-) search(-able, -ed, out, -ing).	h2714
h2793	kho'-resh	חֹרֶשׁ	chôresh	from {{h2790}}; a forest (perhaps as furnishing the material for fabric); bough, forest, shroud, wood.	h2793
h2792	kheh'-resh	חֶרֶשׁ	Cheresh	the same as {{h2791}}; Cheresh, a Levite; Heresh.	h2792
h2791	kheh'-resh	חֶרֶשׁ	cheresh	from {{h2790}}; magical craft; also silence; cunning, secretly.	h2791
h2790	khaw-rash'	חָרַשׁ	chârash	a primitive root; to scratch, i.e. (by implication) to engrave, plough; hence (from the use of tools) to fabricate (of any material); figuratively, to devise (in a bad sense); hence (from the idea of secrecy) to be silent, to let alone; hence (by implication) to be deaf (as an accompaniment of dumbness); × altogether, cease, conceal, be deaf, devise, ear, graven, imagine, leave off speaking, hold peace, plow(-er, man), be quiet, rest, practise secretly, keep silence, be silent, speak not a word, be still, hold tongue, worker.	h2790
h2797	khar-shaw'	חַרְשָׁא	Charshâʼ	from {{h2792}}; magician; Charsha, one of the Nethinim; Harsha.	h2797
h2796	khaw-rawsh'	חָרָשׁ	chârâsh	from {{h2790}}; a fabricator or any material; artificer, ( ) carpenter, craftsman, engraver, maker,   mason, skilful, ( ) smith, worker, workman, such as wrought.	h2796
h2795	khay-rashe'	חֵרֵשׁ	chêrêsh	from {{h2790}}; deaf (whether literally or spiritual); deaf.	h2795
h2794	kho-rashe'	חֹרֵשׁ	chôrêsh	active participle of {{h2790}}; a fabricator or mechanic; artificer.	h2794
h2799	khar-o'-sheth	חֲרֹשֶׁת	chărôsheth	from {{h2790}}; mechanical work; carving, cutting.	h2799
h2798	khar-aw-sheem'	חֲרָשִׁים	Chărâshîym	plural of {{h2796}}; mechanics, the name of a valley in Jerusalem; Charashim, craftsmen.	h2798
h2704	khats-ar' ay-nawn'	חֲצַר עֵינָן	Chătsar ʻÊynân	from {{h2691}} and the same as {{h5881}}; village of springs; Chatsar-Enan, a place in Palestine; Hazar-enan.	h2704
