Book Name	Chapter	Verse	Strong Number	Hebrew Eng	Hebrew	Eng Word	Word Type
1 Chronicles	10	1	6430[e]	ū·p̄ə·liš·tîm	וּפְלִשְׁתִּ֖ים	Now the Philistines	Adj
1 Chronicles	10	1	3898[e]	nil·ḥă·mū	נִלְחֲמ֣וּ	fought	Verb
1 Chronicles	10	1	3478[e]	ḇə·yiś·rā·’êl;	בְיִשְׂרָאֵ֑ל	against Israel	Noun
1 Chronicles	10	1	5127[e]	way·yā·nās;	וַיָּ֑נָס	and fled	Verb
1 Chronicles	10	1	376[e]	’îš-	אִֽישׁ־	the men	Noun
1 Chronicles	10	1	3478[e]	yiś·rā·’êl	יִשְׂרָאֵל֙	of Israel	Noun
1 Chronicles	10	1	6440[e]	mip·pə·nê	מִפְּנֵ֣י	the from before	Noun
1 Chronicles	10	1	6430[e]	p̄ə·liš·tîm,	פְלִשְׁתִּ֔ים	Philistines	Adj
1 Chronicles	10	1	5307[e]	way·yip·pə·lū	וַיִּפְּל֥וּ	and fell down	Verb
1 Chronicles	10	1	2491[e]	ḥă·lā·lîm	חֲלָלִ֖ים	slain	Noun
1 Chronicles	10	1	2022[e]	bə·har	בְּהַ֥ר	on Mount	Noun
1 Chronicles	10	1	1533[e]	gil·bō·a‘.	גִּלְבֹּֽעַ׃	Gilboa	Noun
1 Chronicles	10	2	1692[e]	way·yaḏ·bə·qū	וַיַּדְבְּק֣וּ	And followed hard	Verb
1 Chronicles	10	2	6430[e]	p̄ə·liš·tîm,	פְלִשְׁתִּ֔ים	the Philistines	Adj
1 Chronicles	10	2	310[e]	’a·ḥă·rê	אַחֲרֵ֥י	after	Adv
1 Chronicles	10	2	7586[e]	šā·’ūl	שָׁא֖וּל	Saul	Noun
1 Chronicles	10	2	310[e]	wə·’a·ḥă·rê	וְאַחֲרֵ֣י	and after	Adv
1 Chronicles	10	2	1121[e]	ḇā·nāw;	בָנָ֑יו	his sons	Noun
1 Chronicles	10	2	5221[e]	way·yak·kū	וַיַּכּ֣וּ	and slew	Verb
1 Chronicles	10	2	6430[e]	p̄ə·liš·tîm,	פְלִשְׁתִּ֗ים	the Philistines	Adj
1 Chronicles	10	2	853[e]	’eṯ-	אֶת־	 - 	Acc
1 Chronicles	10	2	3129[e]	yō·w·nā·ṯān	יוֹנָתָ֧ן	Jonathan	Noun
1 Chronicles	10	2	853[e]	wə·’eṯ-	וְאֶת־	and	Acc
1 Chronicles	10	2	41[e]	’ă·ḇî·nā·ḏāḇ	אֲבִינָדָ֛ב	Abinadab	Noun
1 Chronicles	10	2	853[e]	wə·’eṯ-	וְאֶת־	and	Acc
1 Chronicles	10	2		mal·kî-	מַלְכִּי־	from	Prep
1 Chronicles	10	2	4444[e]	šū·a‘	שׁ֖וּעַ	Malchi-shua	Noun
1 Chronicles	10	2	1121[e]	bə·nê	בְּנֵ֥י	the sons	Noun
1 Chronicles	10	2	7586[e]	šā·’ūl.	שָׁאֽוּל׃	of Saul	Noun
1 Chronicles	10	3	3513[e]	wat·tiḵ·baḏ	וַתִּכְבַּ֤ד	And went very	Verb
1 Chronicles	10	3	4421[e]	ham·mil·ḥā·māh	הַמִּלְחָמָה֙	the battle	Noun
1 Chronicles	10	3	5921[e]	‘al-	עַל־	against	Prep
1 Chronicles	10	3	7586[e]	šā·’ūl,	שָׁא֔וּל	Saul	Noun
1 Chronicles	10	3	4672[e]	way·yim·ṣā·’u·hū	וַיִּמְצָאֻ֖הוּ	and hit	Verb
1 Chronicles	10	3	3384[e]	ham·mō·w·rîm	הַמּוֹרִ֣ים	the archers	Verb
1 Chronicles	10	3	7198[e]	baq·qā·šeṯ;	בַּקָּ֑שֶׁת	him	Noun
1 Chronicles	10	3	2342[e]	way·yā·ḥel	וַיָּ֖חֶל	and he was wounded	Verb
1 Chronicles	10	3	4480[e]	min-	מִן־	of	Prep
1 Chronicles	10	3	3384[e]	hay·yō·w·rîm.	הַיּוֹרִֽים׃	the archers	Verb
1 Chronicles	10	4	559[e]	way·yō·mer	וַיֹּ֣אמֶר	Then said	Verb
1 Chronicles	10	4	7586[e]	šā·’ūl	שָׁאוּל֩	Saul	Noun
1 Chronicles	10	4	413[e]	’el-	אֶל־	unto	Prep
1 Chronicles	10	4	5375[e]	nō·śê	נֹשֵׂ֨א	bearer	Verb
1 Chronicles	10	4	3627[e]	ḵê·lāw	כֵלָ֜יו	to his armor	Noun
1 Chronicles	10	4	8025[e]	šə·lōp̄	שְׁלֹ֥ף	Draw	Verb
1 Chronicles	10	4	2719[e]	ḥar·bə·ḵā	חַרְבְּךָ֣ ׀	your sword	Noun
1 Chronicles	10	4	1856[e]	wə·ḏā·qə·rê·nî	וְדָקְרֵ֣נִי	and thrust	Verb
1 Chronicles	10	4		ḇāh,	בָ֗הּ	in	Prep
1 Chronicles	10	4	6435[e]	pen-	פֶּן־	lest	Conj
1 Chronicles	10	4	935[e]	yā·ḇō·’ū	יָבֹ֜אוּ	come	Verb
1 Chronicles	10	4	6189[e]	hā·‘ă·rê·lîm	הָעֲרֵלִ֤ים	uncircumcised	Noun
1 Chronicles	10	4	428[e]	hā·’êl·leh	הָאֵ֙לֶּה֙	these	Pro
1 Chronicles	10	4	5953[e]	wə·hiṯ·‘al·lə·lū-	וְהִתְעַלְּלוּ־	and abuse	Verb
1 Chronicles	10	4		ḇî,	בִ֔י	in	Prep
1 Chronicles	10	4	3808[e]	wə·lō	וְלֹ֤א	and not	Adv
1 Chronicles	10	4	14[e]	’ā·ḇāh	אָבָה֙	do would	Verb
1 Chronicles	10	4	5375[e]	nō·śê	נֹשֵׂ֣א	bearer me	Verb
1 Chronicles	10	4	3627[e]	ḵê·lāw,	כֵלָ֔יו	But his armor	Noun
1 Chronicles	10	4	3588[e]	kî	כִּ֥י	for	Conj
1 Chronicles	10	4	3372[e]	yā·rê	יָרֵ֖א	afraid	Verb
1 Chronicles	10	4	3966[e]	mə·’ōḏ;	מְאֹ֑ד	not for he was very	Adj
1 Chronicles	10	4		s	ס	 - 	 
1 Chronicles	10	4	3947[e]	way·yiq·qaḥ	וַיִּקַּ֤ח	and took	Verb
1 Chronicles	10	4	7586[e]	šā·’ūl	שָׁאוּל֙	So Saul	Noun
1 Chronicles	10	4	853[e]	’eṯ-	אֶת־	 - 	Acc
1 Chronicles	10	4	2719[e]	ha·ḥe·reḇ,	הַחֶ֔רֶב	a sword	Noun
1 Chronicles	10	4	5307[e]	way·yip·pōl	וַיִּפֹּ֖ל	and fell	Verb
1 Chronicles	10	4	5921[e]	‘ā·le·hā.	עָלֶֽיהָ׃	on	Prep
1 Chronicles	10	5	7200[e]	way·yar	וַיַּ֥רְא	and saw	Verb
1 Chronicles	10	5	5375[e]	nō·śê-	נֹשֵֽׂא־	bearer	Verb
1 Chronicles	10	5	3627[e]	ḵê·lāw	כֵלָ֖יו	When his armor	Noun
1 Chronicles	10	5	3588[e]	kî	כִּ֣י	that	Conj
1 Chronicles	10	5	4191[e]	mêṯ	מֵ֣ת	was dead	Verb
1 Chronicles	10	5	7586[e]	šā·’ūl;	שָׁא֑וּל	that Saul	Noun
1 Chronicles	10	5	5307[e]	way·yip·pōl	וַיִּפֹּ֥ל	and fell	Verb
1 Chronicles	10	5	1571[e]	gam-	גַּם־	likewise	Adv
1 Chronicles	10	5	1931[e]	hū	ה֛וּא	he	Pro
1 Chronicles	10	5	5921[e]	‘al-	עַל־	on	Prep
1 Chronicles	10	5	2719[e]	ha·ḥe·reḇ	הַחֶ֖רֶב	the sword	Noun
1 Chronicles	10	5	4191[e]	way·yā·mōṯ.	וַיָּמֹֽת׃	and died	Verb
1 Chronicles	10	5		s	ס	 - 	 
1 Chronicles	10	6	4191[e]	way·yā·māṯ	וַיָּ֤מָת	so died	Verb
1 Chronicles	10	6	7586[e]	šā·’ūl	שָׁאוּל֙	Saul	Noun
1 Chronicles	10	6	7969[e]	ū·šə·lō·šeṯ	וּשְׁלֹ֣שֶׁת	and his three	Noun
1 Chronicles	10	6	1121[e]	bā·nāw,	בָּנָ֔יו	sons	Noun
1 Chronicles	10	6	3605[e]	wə·ḵāl	וְכָל־	and all	Noun
1 Chronicles	10	6	1004[e]	bê·ṯōw	בֵּית֖וֹ	his house	Noun
1 Chronicles	10	6	3162[e]	yaḥ·dāw	יַחְדָּ֥ו	together	Noun
1 Chronicles	10	6	4191[e]	mê·ṯū.	מֵֽתוּ׃	died	Verb
1 Chronicles	10	7	7200[e]	way·yir·’ū	וַ֠יִּרְאוּ	And saw	Verb
1 Chronicles	10	7	3605[e]	kāl-	כָּל־	all	Noun
1 Chronicles	10	7	376[e]	’îš	אִ֨ישׁ	the men	Noun
1 Chronicles	10	7	3478[e]	yiś·rā·’êl	יִשְׂרָאֵ֤ל	of Israel	Noun
1 Chronicles	10	7	834[e]	’ă·šer-	אֲשֶׁר־	that [were]	Prt
1 Chronicles	10	7	6010[e]	bā·‘ê·meq	בָּעֵ֙מֶק֙	in the valley	Noun
1 Chronicles	10	7	3588[e]	kî	כִּ֣י	that	Conj
1 Chronicles	10	7	5127[e]	nā·sū,	נָ֔סוּ	they fled	Verb
1 Chronicles	10	7	3588[e]	wə·ḵî-	וְכִי־	that	Conj
1 Chronicles	10	7	4191[e]	mê·ṯū	מֵ֖תוּ	were dead	Verb
1 Chronicles	10	7	7586[e]	šā·’ūl	שָׁא֣וּל	that Saul	Noun
1 Chronicles	10	7	1121[e]	ū·ḇā·nāw;	וּבָנָ֑יו	then his sons	Noun
1 Chronicles	10	7	5800[e]	way·ya·‘az·ḇū	וַיַּעַזְב֤וּ	they forsook	Verb
1 Chronicles	10	7	5892[e]	‘ā·rê·hem	עָרֵיהֶם֙	their cities	Noun
1 Chronicles	10	7	5127[e]	way·yā·nu·sū,	וַיָּנֻ֔סוּ	and fled	Verb
1 Chronicles	10	7	935[e]	way·yā·ḇō·’ū	וַיָּבֹ֣אוּ	and came	Verb
1 Chronicles	10	7	6430[e]	p̄ə·liš·tîm,	פְלִשְׁתִּ֔ים	the Philistines	Adj
1 Chronicles	10	7	3427[e]	way·yê·šə·ḇū	וַיֵּשְׁב֖וּ	and dwelled	Verb
1 Chronicles	10	7		bā·hem.	בָּהֶֽם׃	in	Prep
1 Chronicles	10	7		s	ס	 - 	 
1 Chronicles	10	8	1961[e]	way·hî	וַיְהִי֙	And it came to pass	Verb
1 Chronicles	10	8	4283[e]	mim·mā·ḥo·rāṯ,	מִֽמָּחֳרָ֔ת	the next day	Noun
1 Chronicles	10	8	935[e]	way·yā·ḇō·’ū	וַיָּבֹ֣אוּ	when came	Verb
1 Chronicles	10	8	6430[e]	p̄ə·liš·tîm,	פְלִשְׁתִּ֔ים	the Philistines	Adj
1 Chronicles	10	8	6584[e]	lə·p̄aš·šêṭ	לְפַשֵּׁ֖ט	to strip	Verb
1 Chronicles	10	8	853[e]	’eṯ-	אֶת־	 - 	Acc
1 Chronicles	10	8	2491[e]	ha·ḥă·lā·lîm;	הַֽחֲלָלִ֑ים	the slain	Noun
