Book Name	Chapter	Verse	Strong Number	Hebrew Eng	Hebrew	Eng Word	Word Type
1 Chronicles	3	1	428[e]	wə·’êl·leh	וְאֵ֤לֶּה	Now these	Pro
1 Chronicles	3	1	1961[e]	hā·yū	הָיוּ֙	were	Verb
1 Chronicles	3	1	1121[e]	bə·nê	בְּנֵ֣י	the sons	Noun
1 Chronicles	3	1	1732[e]	ḏā·w·yiḏ,	דָויִ֔ד	of David	Noun
1 Chronicles	3	1	834[e]	’ă·šer	אֲשֶׁ֥ר	that	Prt
1 Chronicles	3	1	3205[e]	nō·w·laḏ-	נֽוֹלַד־	were born	Verb
1 Chronicles	3	1		lōw	ל֖וֹ	to him	Prep
1 Chronicles	3	1	2275[e]	bə·ḥeḇ·rō·wn;	בְּחֶבְר֑וֹן	in Hebron	Noun
1 Chronicles	3	1	1060[e]	hab·bə·ḵō·wr	הַבְּכ֣וֹר ׀	the firstborn	Noun
1 Chronicles	3	1	550[e]	’am·nōn,	אַמְנֹ֗ן	Amnon	Noun
1 Chronicles	3	1	293[e]	la·’ă·ḥî·nō·‘am	לַאֲחִינֹ֙עַם֙	of Ahinoam	Noun
1 Chronicles	3	1	3159[e]	hay·yiz·rə·‘ê·lîṯ,	הַיִּזְרְעֵאלִ֔ית	Jezreelitess	Adj
1 Chronicles	3	1	8145[e]	šê·nî	שֵׁנִי֙	the second	Noun
1 Chronicles	3	1	1840[e]	dā·nî·yêl,	דָּנִיֵּ֔אל	Daniel	Noun
1 Chronicles	3	1	26[e]	la·’ă·ḇî·ḡa·yil	לַאֲבִיגַ֖יִל	of Abigail	Noun
1 Chronicles	3	1	3762[e]	hak·kar·mə·lîṯ.	הַֽכַּרְמְלִֽית׃	Carmelitess	Adj
1 Chronicles	3	2	7992[e]	haš·šə·li·šî	הַשְּׁלִשִׁי֙	The third	Adj
1 Chronicles	3	2	53[e]	lə·’aḇ·šā·lō·wm	לְאַבְשָׁל֣וֹם	Absalom	Noun
1 Chronicles	3	2	1121[e]	ben-	בֶּֽן־	the son	Noun
1 Chronicles	3	2	4601[e]	ma·‘ă·ḵāh,	מַעֲכָ֔ה	of Maacah	Noun
1 Chronicles	3	2	1323[e]	baṯ-	בַּת־	the daughter	Noun
1 Chronicles	3	2	8526[e]	tal·may	תַּלְמַ֖י	of Talmai	Noun
1 Chronicles	3	2	4428[e]	me·leḵ	מֶ֣לֶךְ	king	Noun
1 Chronicles	3	2	1650[e]	gə·šūr;	גְּשׁ֑וּר	of Geshur	Noun
1 Chronicles	3	2	7243[e]	hā·rə·ḇî·‘î	הָרְבִיעִ֖י	fourth	Adj
1 Chronicles	3	2	138[e]	’ă·ḏō·nî·yāh	אֲדֹנִיָּ֥ה	Adonijah	Noun
1 Chronicles	3	2	1121[e]	ḇen-	בֶן־	the son	Noun
1 Chronicles	3	2	2294[e]	ḥag·gîṯ.	חַגִּֽית׃	of Haggith	Noun
1 Chronicles	3	3	2549[e]	ha·ḥă·mî·šî	הַחֲמִישִׁ֥י	The fifth	Adj
1 Chronicles	3	3	8203[e]	šə·p̄aṭ·yāh	שְׁפַטְיָ֖ה	Shephatiah	Noun
1 Chronicles	3	3	37[e]	la·’ă·ḇî·ṭāl;	לַאֲבִיטָ֑ל	of Abital	Noun
1 Chronicles	3	3	8345[e]	haš·šiš·šî	הַשִּׁשִּׁ֥י	the sixth	Noun
1 Chronicles	3	3	3507[e]	yiṯ·rə·‘ām	יִתְרְעָ֖ם	Ithream	Noun
1 Chronicles	3	3	5698[e]	lə·‘eḡ·lāh	לְעֶגְלָ֥ה	by Eglah	Noun
1 Chronicles	3	3	802[e]	’iš·tōw.	אִשְׁתּֽוֹ׃	his wife	Noun
1 Chronicles	3	4	8337[e]	šiš·šāh	שִׁשָּׁה֙	[These] Six	Noun
1 Chronicles	3	4	3205[e]	nō·w·laḏ-	נֽוֹלַד־	were born	Verb
1 Chronicles	3	4		lōw	ל֣וֹ	to him	Prep
1 Chronicles	3	4	2275[e]	ḇə·ḥeḇ·rō·wn,	בְחֶבְר֔וֹן	in Hebron	Noun
1 Chronicles	3	4	4427[e]	way·yim·lāḵ-	וַיִּ֨מְלָךְ־	and he reigned	Verb
1 Chronicles	3	4	8033[e]	šām,	שָׁ֔ם	there	Adv
1 Chronicles	3	4	7651[e]	še·ḇa‘	שֶׁ֥בַע	seven	Noun
1 Chronicles	3	4	8141[e]	šā·nîm	שָׁנִ֖ים	years	Noun
1 Chronicles	3	4	8337[e]	wə·šiš·šāh	וְשִׁשָּׁ֣ה	and six	Noun
1 Chronicles	3	4	2320[e]	ḥo·ḏā·šîm;	חֳדָשִׁ֑ים	months	Noun
1 Chronicles	3	4	7970[e]	ū·šə·lō·šîm	וּשְׁלֹשִׁ֤ים	and thirty	Noun
1 Chronicles	3	4	7969[e]	wə·šā·lō·wōš	וְשָׁלוֹשׁ֙	and three	Noun
1 Chronicles	3	4	8141[e]	šā·nāh,	שָׁנָ֔ה	years	Noun
1 Chronicles	3	4	4427[e]	mā·laḵ	מָלַ֖ךְ	he reigned	Verb
1 Chronicles	3	4	3389[e]	bî·rū·šā·lim.	בִּירוּשָׁלִָֽם׃	in Jerusalem	Noun
1 Chronicles	3	4		s	ס	 - 	 
1 Chronicles	3	5	428[e]	wə·’êl·leh	וְאֵ֥לֶּה	And these	Pro
1 Chronicles	3	5	3205[e]	nūl·lə·ḏū-	נוּלְּדוּ־	were born	Verb
1 Chronicles	3	5		lōw	ל֖וֹ	to him	Prep
1 Chronicles	3	5	3389[e]	bî·rū·šā·lā·yim;	בִּירוּשָׁלָ֑יִם	in Jerusalem	Noun
1 Chronicles	3	5	8092[e]	mə·‘ā	שִׁ֠מְעָא	Shimeah	Noun
1 Chronicles	3	5	7727[e]	wə·šō·w·ḇāḇ	וְשׁוֹבָ֞ב	and Shobab	Noun
1 Chronicles	3	5	5416[e]	wə·nā·ṯān	וְנָתָ֤ן	and Nathan	Noun
1 Chronicles	3	5	8010[e]	ū·šə·lō·mōh	וּשְׁלֹמֹה֙	and Solomon	Noun
1 Chronicles	3	5	702[e]	’ar·bā·‘āh,	אַרְבָּעָ֔ה	four	Noun
1 Chronicles	3	5		lə·ḇaṯ-	לְבַת־	to	Prep
1 Chronicles	3	5	1340[e]	šū·a‘	שׁ֖וּעַ	of Bath-shua	Noun
1 Chronicles	3	5	1323[e]	baṯ-	בַּת־	the daughter	Noun
1 Chronicles	3	5	5988[e]	‘am·mî·’êl.	עַמִּיאֵֽל׃	of Ammiel	Noun
1 Chronicles	3	6	2984[e]	wə·yiḇ·ḥār	וְיִבְחָ֥ר	and Ibhar	Noun
1 Chronicles	3	6	476[e]	we·’ĕ·lî·šā·mā‘	וֶאֱלִישָׁמָ֖ע	and Elishama	Noun
1 Chronicles	3	6	467[e]	we·’ĕ·lî·p̄ā·leṭ.	וֶאֱלִיפָֽלֶט׃	and Eliphelet	Noun
1 Chronicles	3	7	5052[e]	wə·nō·ḡah	וְנֹ֥גַהּ	And Nogah	Noun
1 Chronicles	3	7	5298[e]	wə·ne·p̄eḡ	וְנֶ֖פֶג	and Nepheg	Noun
1 Chronicles	3	7	3309[e]	wə·yā·p̄î·a‘.	וְיָפִֽיעַ׃	and Japhia	Noun
1 Chronicles	3	8	476[e]	we·’ĕ·lî·šā·mā‘	וֶאֱלִישָׁמָ֧ע	And Elishama	Noun
1 Chronicles	3	8	450[e]	wə·’el·yā·ḏā‘	וְאֶלְיָדָ֛ע	and Eliada	Noun
1 Chronicles	3	8	467[e]	we·’ĕ·lî·p̄e·leṭ	וֶאֱלִיפֶ֖לֶט	and Eliphelet	Noun
1 Chronicles	3	8	8672[e]	tiš·‘āh.	תִּשְׁעָֽה׃	nine	Noun
1 Chronicles	3	9	3605[e]	kōl	כֹּ֖ל	All	Noun
1 Chronicles	3	9	1121[e]	bə·nê	בְּנֵ֣י	[These were] the sons	Noun
1 Chronicles	3	9	1732[e]	ḏā·wîḏ;	דָוִ֑יד	of David	Noun
1 Chronicles	3	9	905[e]	mil·lə·ḇaḏ	מִלְּבַ֥ד	beside	Noun
1 Chronicles	3	9	1121[e]	bə·nê-	בְּֽנֵי־	the sons	Noun
1 Chronicles	3	9	6370[e]	p̄î·laḡ·šîm	פִֽילַגְשִׁ֖ים	of the concubines	Noun
1 Chronicles	3	9	8559[e]	wə·ṯā·mār	וְתָמָ֥ר	and Tamar	Noun
1 Chronicles	3	9	269[e]	’ă·ḥō·w·ṯām.	אֲחוֹתָֽם׃	their sister	Noun
1 Chronicles	3	9		p̄	פ	 - 	 
1 Chronicles	3	10	1121[e]	ū·ḇen-	וּבֶן־	and son	Noun
1 Chronicles	3	10	8010[e]	šə·lō·mōh	שְׁלֹמֹ֖ה	of Solomon	Noun
1 Chronicles	3	10	7346[e]	rə·ḥaḇ·‘ām;	רְחַבְעָ֑ם	[was] Rehoboam	Noun
1 Chronicles	3	10	29[e]	’ă·ḇî·yāh	אֲבִיָּ֥ה	Abia	Noun
1 Chronicles	3	10	1121[e]	ḇə·nōw	בְנ֛וֹ	his son	Noun
1 Chronicles	3	10	609[e]	’ā·sā	אָסָ֥א	Asa	Noun
1 Chronicles	3	10	1121[e]	ḇə·nōw	בְנ֖וֹ	his son	Noun
1 Chronicles	3	10	3092[e]	yə·hō·wō·šā·p̄āṭ	יְהוֹשָׁפָ֥ט	Jehoshaphat	Noun
1 Chronicles	3	10	1121[e]	bə·nōw.	בְּנֽוֹ׃	his son	Noun
1 Chronicles	3	11	3141[e]	yō·w·rām	יוֹרָ֥ם	Joram	Noun
1 Chronicles	3	11	1121[e]	bə·nōw	בְּנ֛וֹ	his son	Noun
1 Chronicles	3	11	274[e]	’ă·ḥaz·yā·hū	אֲחַזְיָ֥הוּ	Ahaziah	Noun
1 Chronicles	3	11	1121[e]	ḇə·nōw	בְנ֖וֹ	his son	Noun
1 Chronicles	3	11	3101[e]	yō·w·’āš	יוֹאָ֥שׁ	Joash	Noun
1 Chronicles	3	11	1121[e]	bə·nōw.	בְּנֽוֹ׃	his son	Noun
1 Chronicles	3	12	558[e]	’ă·maṣ·yā·hū	אֲמַצְיָ֧הוּ	Amaziah	Noun
1 Chronicles	3	12	1121[e]	ḇə·nōw	בְנ֛וֹ	his son	Noun
1 Chronicles	3	12	5838[e]	‘ă·zar·yāh	עֲזַרְיָ֥ה	Azariah	Noun
1 Chronicles	3	12	1121[e]	ḇə·nōw	בְנ֖וֹ	his son	Noun
1 Chronicles	3	12	3147[e]	yō·w·ṯām	יוֹתָ֥ם	Jotham	Noun
1 Chronicles	3	12	1121[e]	bə·nōw.	בְּנֽוֹ׃	his son	Noun
1 Chronicles	3	13	271[e]	’ā·ḥāz	אָחָ֥ז	Ahaz	Noun
1 Chronicles	3	13	1121[e]	bə·nōw	בְּנ֛וֹ	his son	Noun
1 Chronicles	3	13	2396[e]	ḥiz·qî·yā·hū	חִזְקִיָּ֥הוּ	Hezekiah	Noun
1 Chronicles	3	13	1121[e]	ḇə·nōw	בְנ֖וֹ	his son	Noun
1 Chronicles	3	13	4519[e]	mə·naš·šeh	מְנַשֶּׁ֥ה	Manasseh	Noun
1 Chronicles	3	13	1121[e]	ḇə·nōw.	בְנֽוֹ׃	his son	Noun
1 Chronicles	3	14	526[e]	’ā·mō·wn	אָמ֥וֹן	Amon	Noun
1 Chronicles	3	14	1121[e]	bə·nōw	בְּנ֖וֹ	his son	Noun
1 Chronicles	3	14	2977[e]	yō·šî·yā·hū	יֹאשִׁיָּ֥הוּ	Josiah	Noun
1 Chronicles	3	14	1121[e]	ḇə·nōw.	בְנֽוֹ׃	his son	Noun
1 Chronicles	3	15	1121[e]	ū·ḇə·nê	וּבְנֵי֙	and the sons	Noun
1 Chronicles	3	15	2977[e]	yō·šî·yā·hū,	יֹאשִׁיָּ֔הוּ	of Josiah [were]	Noun
1 Chronicles	3	15	1060[e]	hab·bə·ḵō·wr	הַבְּכוֹר֙	the firstborn	Noun
1 Chronicles	3	15	3110[e]	yō·w·ḥā·nān,	יוֹחָנָ֔ן	Johanan	Noun
1 Chronicles	3	15	8145[e]	haš·šê·nî	הַשֵּׁנִ֖י	the second	Noun
1 Chronicles	3	15	3079[e]	yə·hō·w·yā·qîm;	יְהוֹיָקִ֑ים	the Jehoiakim	Noun
1 Chronicles	3	15	7992[e]	haš·šə·li·šî	הַשְּׁלִשִׁי֙	third	Adj
1 Chronicles	3	15	6667[e]	ṣiḏ·qî·yā·hū,	צִדְקִיָּ֔הוּ	the Zedekiah	Noun
1 Chronicles	3	15	7243[e]	hā·rə·ḇî·‘î	הָרְבִיעִ֖י	fourth	Adj
1 Chronicles	3	15	7967[e]	šal·lūm.	שַׁלּֽוּם׃	Shallum	Noun
1 Chronicles	3	16	1121[e]	ū·ḇə·nê	וּבְנֵ֖י	and the sons	Noun
1 Chronicles	3	16	3079[e]	yə·hō·w·yā·qîm;	יְהוֹיָקִ֑ים	of Jehoiakim	Noun
1 Chronicles	3	16	3204[e]	yə·ḵā·nə·yāh	יְכָנְיָ֥ה	Jeconiah	Noun
1 Chronicles	3	16	1121[e]	ḇə·nōw	בְנ֖וֹ	his son	Noun
1 Chronicles	3	16	6667[e]	ṣiḏ·qî·yāh	צִדְקִיָּ֥ה	Zedekiah	Noun
1 Chronicles	3	16	1121[e]	ḇə·nōw.	בְנֽוֹ׃	his son	Noun
1 Chronicles	3	17	1121[e]	ū·ḇə·nê	וּבְנֵי֙	and the sons	Noun
1 Chronicles	3	17	3204[e]	yə·ḵā·nə·yāh	יְכָנְיָ֣ה	of Jeconiah	Noun
1 Chronicles	3	17	617[e]	’as·sir,	אַסִּ֔ר	Assir	Noun
1 Chronicles	3	17	7597[e]	šə·’al·tî·’êl	שְׁאַלְתִּיאֵ֖ל	Salathiel	Noun
1 Chronicles	3	17	1121[e]	bə·nōw.	בְּנֽוֹ׃	his son	Noun
1 Chronicles	3	18	4443[e]	ū·mal·kî·rām	וּמַלְכִּירָ֥ם	and Malchiram	Noun
1 Chronicles	3	18	6305[e]	ū·p̄ə·ḏā·yāh	וּפְדָיָ֖ה	and Pedaiah	Noun
1 Chronicles	3	18	8137[e]	wə·šen·’aṣ·ṣar;	וְשֶׁנְאַצַּ֑ר	and Shenazar	Noun
1 Chronicles	3	18	3359[e]	yə·qam·yāh	יְקַמְיָ֥ה	Jecamiah	Noun
1 Chronicles	3	18	1953[e]	hō·wō·šā·mā‘	הוֹשָׁמָ֖ע	Hoshama	Noun
1 Chronicles	3	18	5072[e]	ū·nə·ḏaḇ·yāh.	וּנְדַבְיָֽה׃	and Nedabiah	Noun
1 Chronicles	3	19	1121[e]	ū·ḇə·nê	וּבְנֵ֣י	and the sons	Noun
1 Chronicles	3	19	6305[e]	p̄ə·ḏā·yāh,	פְדָיָ֔ה	of Pedaiah [were]	Noun
1 Chronicles	3	19	2216[e]	zə·rub·bā·ḇel	זְרֻבָּבֶ֖ל	Zerubbabel	Noun
1 Chronicles	3	19	8096[e]	wə·šim·‘î;	וְשִׁמְעִ֑י	and Shimei	Noun
1 Chronicles	3	19	1121[e]	ū·ḇen-	וּבֶן־	and the sons	Noun
1 Chronicles	3	19	2216[e]	zə·rub·bā·ḇel	זְרֻבָּבֶל֙	of Zerubbabel	Noun
1 Chronicles	3	19	4918[e]	mə·šul·lām	מְשֻׁלָּ֣ם	Meshullam	Noun
1 Chronicles	3	19	2608[e]	wa·ḥă·nan·yāh,	וַחֲנַנְיָ֔ה	and Hananiah	Noun
1 Chronicles	3	19	8019[e]	ū·šə·lō·mîṯ	וּשְׁלֹמִ֖ית	and Shelomith	Noun
1 Chronicles	3	19	269[e]	’ă·ḥō·w·ṯām.	אֲחוֹתָֽם׃	their sister	Noun
1 Chronicles	3	20	2807[e]	wa·ḥă·šu·ḇāh	וַחֲשֻׁבָ֡ה	And Hashubah	Noun
1 Chronicles	3	20	169[e]	wā·’ō·hel	וָ֠אֹהֶל	and Ohel	Noun
1 Chronicles	3	20	1296[e]	ū·ḇe·reḵ·yāh	וּבֶרֶכְיָ֧ה	and Berechiah	Noun
1 Chronicles	3	20	2619[e]	wa·ḥă·saḏ·yāh	וַֽחֲסַדְיָ֛ה	and Hasadiah	Noun
1 Chronicles	3	20		yū·šaḇ	י֥וּשַׁב	 - 	 
1 Chronicles	3	20	3142[e]	ḥe·seḏ	חֶ֖סֶד	Jushab-hesed	Noun
1 Chronicles	3	20	2568[e]	ḥā·mêš.	חָמֵֽשׁ׃	five	Noun
1 Chronicles	3	21	1121[e]	ū·ḇen-	וּבֶן־	and the sons	Noun
1 Chronicles	3	21	2608[e]	ḥă·nan·yāh	חֲנַנְיָ֖ה	of Hananiah	Noun
1 Chronicles	3	21	6410[e]	pə·laṭ·yāh	פְּלַטְיָ֣ה	Pelatiah	Noun
1 Chronicles	3	21	3470[e]	wî·ša‘·yāh;	וִישַֽׁעְיָ֑ה	Jesaiah	Noun
1 Chronicles	3	21	1121[e]	bə·nê	בְּנֵ֤י	the sons	Noun
1 Chronicles	3	21	7509[e]	rə·p̄ā·yāh	רְפָיָה֙	of Rephaiah	Noun
1 Chronicles	3	21	1121[e]	bə·nê	בְּנֵ֣י	the sons	Noun
1 Chronicles	3	21	770[e]	’ar·nān,	אַרְנָ֔ן	of Arnan	Noun
1 Chronicles	3	21	1121[e]	bə·nê	בְּנֵ֥י	the sons	Noun
1 Chronicles	3	21	5662[e]	‘ō·ḇaḏ·yāh	עֹבַדְיָ֖ה	of Obadiah	Noun
1 Chronicles	3	21	1121[e]	bə·nê	בְּנֵ֥י	the sons	Noun
1 Chronicles	3	21	7935[e]	šə·ḵan·yāh.	שְׁכַנְיָֽה׃	of Shechaniah	Noun
1 Chronicles	3	21		s	ס	 - 	 
1 Chronicles	3	22	1121[e]	ū·ḇə·nê	וּבְנֵ֥י	and the sons	Noun
