Book Name	Chapter	Verse	Strong Number	Hebrew Eng	Hebrew	Eng Word	Word Type
1 Chronicles	25	1	914[e]	way·yaḇ·dêl	וַיַּבְדֵּ֣ל	and separated	Verb
1 Chronicles	25	1	1732[e]	dā·wîḏ	דָּוִיד֩	Moreover David	Noun
1 Chronicles	25	1	8269[e]	wə·śā·rê	וְשָׂרֵ֨י	and the captains	Noun
1 Chronicles	25	1	6635[e]	haṣ·ṣā·ḇā	הַצָּבָ֜א	of the host	Noun
1 Chronicles	25	1	5656[e]	la·‘ă·ḇō·ḏāh,	לַעֲבֹדָ֗ה	for the service	Noun
1 Chronicles	25	1	1121[e]	liḇ·nê	לִבְנֵ֤י	of the sons	Noun
1 Chronicles	25	1	623[e]	’ā·sāp̄	אָסָף֙	of Asaph	Noun
1 Chronicles	25	1	1968[e]	wə·hê·mān	וְהֵימָ֣ן	and of Heman	Noun
1 Chronicles	25	1	3038[e]	wî·ḏū·ṯūn,	וִֽידוּת֔וּן	of Jeduthun	Noun
1 Chronicles	25	1		[han·nə·bî·’îm	[הַנְּבִּיאִים	 - 	 
1 Chronicles	25	1		ḵ]	כ]	 - 	 
1 Chronicles	25	1	5030[e]	(han·nib·bə·’îm	(הַֽנִּבְּאִ֛ים	prophecy	Noun
1 Chronicles	25	1		q)	ק)	 - 	 
1 Chronicles	25	1	3658[e]	bə·ḵin·nō·rō·wṯ	בְּכִנֹּר֥וֹת	with lyres	Noun
1 Chronicles	25	1	5035[e]	bin·ḇā·lîm	בִּנְבָלִ֖ים	with psalteries	Noun
1 Chronicles	25	1	4700[e]	ū·ḇim·ṣil·tā·yim;	וּבִמְצִלְתָּ֑יִם	and with cymbals	Noun
1 Chronicles	25	1	1961[e]	way·hî	וַֽיְהִי֙	and was	Verb
1 Chronicles	25	1	4557[e]	mis·pā·rām,	מִסְפָּרָ֔ם	the number	Noun
1 Chronicles	25	1	376[e]	’an·šê	אַנְשֵׁ֥י	of those	Noun
1 Chronicles	25	1	4399[e]	mə·lā·ḵāh	מְלָאכָ֖ה	who performed	Noun
1 Chronicles	25	1	5656[e]	la·‘ă·ḇō·ḏā·ṯām.	לַעֲבֹדָתָֽם׃	according to their service	Noun
1 Chronicles	25	2	1121[e]	liḇ·nê	לִבְנֵ֣י	Of the sons	Noun
1 Chronicles	25	2	623[e]	’ā·sāp̄,	אָסָ֗ף	of Asaph	Noun
1 Chronicles	25	2	2139[e]	zak·kūr	זַכּ֧וּר	Zaccur	Noun
1 Chronicles	25	2	3130[e]	wə·yō·w·sêp̄	וְיוֹסֵ֛ף	and Joseph	Noun
1 Chronicles	25	2	5418[e]	ū·nə·ṯan·yāh	וּנְתַנְיָ֥ה	and Nethaniah	Noun
1 Chronicles	25	2	841[e]	wa·’ă·śar·’ê·lāh	וַאֲשַׂרְאֵ֖לָה	and Asarelah	Noun
1 Chronicles	25	2	1121[e]	bə·nê	בְּנֵ֣י	the sons	Noun
1 Chronicles	25	2	623[e]	’ā·sāp̄;	אָסָ֑ף	of Asaph	Noun
1 Chronicles	25	2	5921[e]	‘al	עַ֚ל	under	Prep
1 Chronicles	25	2	3027[e]	yaḏ-	יַד־	the hands	Noun
1 Chronicles	25	2	623[e]	’ā·sāp̄,	אָסָ֔ף	of Asaph	Noun
1 Chronicles	25	2	5012[e]	han·nib·bā	הַנִּבָּ֖א	that prophesied	Verb
1 Chronicles	25	2	5921[e]	‘al-	עַל־	according to	Prep
1 Chronicles	25	2	3027[e]	yə·ḏê	יְדֵ֥י	the order	Noun
1 Chronicles	25	2	4428[e]	ham·me·leḵ.	הַמֶּֽלֶךְ׃	of the king	Noun
1 Chronicles	25	3	3038[e]	lî·ḏū·ṯūn;	לִידוּת֑וּן	Of Jeduthun	Noun
1 Chronicles	25	3	1121[e]	bə·nê	בְּנֵ֣י	the sons	Noun
1 Chronicles	25	3	3038[e]	yə·ḏū·ṯūn	יְדוּת֡וּן	of Jeduthun	Noun
1 Chronicles	25	3	1436[e]	gə·ḏal·yā·hū	גְּדַלְיָ֡הוּ	Gedaliah	Noun
1 Chronicles	25	3	6874[e]	ū·ṣə·rî	וּצְרִ֡י	and Zeri	Noun
1 Chronicles	25	3	3470[e]	wî·ša‘·yā·hū	וִֽ֠ישַׁעְיָהוּ	Jeshaiah	Noun
1 Chronicles	25	3	2811[e]	ḥă·šaḇ·yā·hū	חֲשַׁבְיָ֨הוּ	Hashabiah	Noun
1 Chronicles	25	3	4993[e]	ū·mat·tiṯ·yā·hū	וּמַתִּתְיָ֜הוּ	and Mattithiah	Noun
1 Chronicles	25	3	8337[e]	šiš·šāh,	שִׁשָּׁ֗ה	six	Noun
1 Chronicles	25	3	5921[e]	‘al	עַל֩	under	Prep
1 Chronicles	25	3	3027[e]	yə·ḏê	יְדֵ֨י	the hands	Noun
