Book Name	Chapter	Verse	Strong Number	Hebrew Eng	Hebrew	Eng Word	Word Type
1 Chronicles	9	1	3605[e]	wə·ḵāl	וְכָל־	so all	Noun
1 Chronicles	9	1	3478[e]	yiś·rā·’êl	יִשְׂרָאֵל֙	Israel	Noun
1 Chronicles	9	1	3187[e]	hiṯ·yaḥ·śū,	הִתְיַחְשׂ֔וּ	were reckoned by genealogies	Verb
1 Chronicles	9	1	2009[e]	wə·hin·nām	וְהִנָּ֣ם	and behold [were]	Prt
1 Chronicles	9	1	3789[e]	kə·ṯū·ḇîm,	כְּתוּבִ֔ים	they written	Verb
1 Chronicles	9	1	5921[e]	‘al-	עַל־	in	Prep
1 Chronicles	9	1	5612[e]	sê·p̄er	סֵ֖פֶר	the book	Noun
1 Chronicles	9	1	4428[e]	mal·ḵê	מַלְכֵ֣י	of the Kings	Noun
1 Chronicles	9	1	3478[e]	yiś·rā·’êl;	יִשְׂרָאֵ֑ל	of Israel	Noun
1 Chronicles	9	1	3063[e]	wî·hū·ḏāh	וִיהוּדָ֛ה	Judah	Noun
1 Chronicles	9	1	1540[e]	hā·ḡə·lū	הָגְל֥וּ	[who] were carried away	Verb
1 Chronicles	9	1	894[e]	lə·ḇā·ḇel	לְבָבֶ֖ל	to Babylon	Noun
1 Chronicles	9	1	4604[e]	bə·ma·‘ă·lām.	בְּמַעֲלָֽם׃	for their unfaithfulness	Noun
1 Chronicles	9	1		s	ס	 - 	 
1 Chronicles	9	2	3427[e]	wə·hay·yō·wō·šə·ḇîm	וְהַיּוֹשְׁבִים֙	and inhabitants	Verb
1 Chronicles	9	2	7223[e]	hā·ri·šō·nîm,	הָרִ֣אשֹׁנִ֔ים	Now the first	Adj
1 Chronicles	9	2	834[e]	’ă·šer	אֲשֶׁ֥ר	that	Prt
1 Chronicles	9	2	272[e]	ba·’ă·ḥuz·zā·ṯām	בַּאֲחֻזָּתָ֖ם	in their possessions	Noun
1 Chronicles	9	2	5892[e]	bə·‘ā·rê·hem;	בְּעָרֵיהֶ֑ם	in their cities [were]	Noun
1 Chronicles	9	2	3478[e]	yiś·rā·’êl	יִשְׂרָאֵל֙	the Israelites	Noun
1 Chronicles	9	2	3548[e]	hak·kō·hă·nîm,	הַכֹּ֣הֲנִ֔ים	the priests	Noun
1 Chronicles	9	2	3881[e]	hal·wî·yim	הַלְוִיִּ֖ם	Levites	Adj
1 Chronicles	9	2	5411[e]	wə·han·nə·ṯî·nîm.	וְהַנְּתִינִֽים׃	and the Nethinims	Noun
1 Chronicles	9	3	3389[e]	ū·ḇî·rū·šā·lim	וּבִירוּשָׁלִַ֙ם֙	and in Jerusalem	Noun
1 Chronicles	9	3	3427[e]	yā·šə·ḇū,	יָשְׁב֔וּ	dwelled	Verb
1 Chronicles	9	3	4480[e]	min-	מִן־	of	Prep
1 Chronicles	9	3	1121[e]	bə·nê	בְּנֵ֥י	the sons	Noun
1 Chronicles	9	3	3063[e]	yə·hū·ḏāh	יְהוּדָ֖ה	of Judah	Noun
1 Chronicles	9	3	4480[e]	ū·min-	וּמִן־	and of	Prep
1 Chronicles	9	3	1121[e]	bə·nê	בְּנֵ֣י	of the sons	Noun
1 Chronicles	9	3	1144[e]	ḇin·yā·min;	בִנְיָמִ֑ן	of Benjamin	Noun
1 Chronicles	9	3	4480[e]	ū·min-	וּמִן־	and of	Prep
1 Chronicles	9	3	1121[e]	bə·nê	בְּנֵ֥י	the children	Noun
1 Chronicles	9	3	669[e]	’ep̄·ra·yim	אֶפְרַ֖יִם	of Ephraim	Noun
1 Chronicles	9	3	4519[e]	ū·mə·naš·šeh.	וּמְנַשֶּֽׁה׃	and Manasseh	Noun
1 Chronicles	9	4	5793[e]	‘ū·ṯay	עוּתַ֨י	Uthai	Noun
1 Chronicles	9	4	1121[e]	ben-	בֶּן־	the son	Noun
1 Chronicles	9	4	5989[e]	‘am·mî·hūḏ	עַמִּיה֤וּד	of Ammihud	Noun
1 Chronicles	9	4	1121[e]	ben-	בֶּן־	the son	Noun
1 Chronicles	9	4	6018[e]	‘ā·mə·rî	עָמְרִי֙	of Omri	Noun
1 Chronicles	9	4	1121[e]	ben-	בֶּן־	the son	Noun
1 Chronicles	9	4	566[e]	’im·rî	אִמְרִ֣י	of Imri	Noun
1 Chronicles	9	4	1121[e]	ḇen-	בֶן־	the son	Noun
1 Chronicles	9	4		[bā·nî·min-	[בָּנִימִן־	 - 	 
1 Chronicles	9	4		ḵ]	כ]	 - 	 
1 Chronicles	9	4		(bā·nî,	(בָּנִ֔י	 - 	 
1 Chronicles	9	4		q)	ק)	 - 	 
1 Chronicles	9	4	1144[e]	(min-	(מִן־	Benjamin	Noun
