Key	Pronunciation	Lexeme	Transliteration	Definition	StrongsNumber
h3537	kad	כַּד	kad	from an unused root meaning to deepen; properly, a pail; but generally of earthenware; a jar for domestic purposes; barrel, pitcher.	h3537
h3549	kaw-hane'	כָּהֵן	kâhên	(Aramaic) corresponding to {{h3548}}; priest.	h3549
h3548	ko-hane'	כֹּהֵן	kôhên	active participle of {{h3547}}; literally one officiating, a priest; also (by courtesy) an acting priest (although a layman); chief ruler, × own, priest, prince, principal officer.	h3548
h3545	kay-haw'	כֵּהָה	kêhâh	feminine of {{h3544}}; properly, a weakening; figuratively, alleviation, i.e. cure; healing.	h3545
h3544	kay-heh'	כֵּהֶה	kêheh	from {{h3543}}; feeble, obscure; somewhat dark, darkish, wax dim, heaviness, smoking.	h3544
h3547	kaw-han'	כָּהַן	kâhan	a primitive root, apparently meaning to mediate in religious services; but used only as denominative from {{h3548}}; to officiate as a priest; figuratively, to put on regalia; deck, be (do the office of a, execute the, minister in the) priest('s office).	h3547
h3546	keh-hal'	כְּהַל	kᵉhal	(Aramaic) a root corresponding to and {{h3557}}; to be able; be able, could.	h3546
h3541	ko	כֹּה	kôh	from the prefix k and {{h1931}}; properly, like this, i.e. by implication, (of manner) thus (or so); also (of place) here (or hither); or (of time) now; also, here,   hitherto, like, on the other side, so (and much), such, on that manner, (on) this (manner, side, way, way and that way),   mean while, yonder.	h3541
h3540	ked-or-law-o'-mer	כְּדׇרְלָעֹמֶר	Kᵉdorlâʻômer	of foreign origin; Kedorlaomer, an early Persian king; Chedorlaomer.	h3540
h3543	kaw-haw'	כָּהָה	kâhâh	a primitive root; to be weak, i.e. (figuratively) to despond (causatively, rebuke), or (of light, the eye) to grow dull; darken, be dim, fail, faint, restrain, × utterly.	h3543
h3542	kaw	כָּה	kâh	(Aramaic) corresponding to {{h3541}}; hitherto.	h3542
h3558	koo-mawz'	כּוּמָז	kûwmâz	from an unused root meaning to store away; a jewel (probably gold beads); tablet.	h3558
h3559	koon	כּוּן	kûwn	a primitive root; properly, to be erect (i.e. stand perpendicular); hence (causatively) to set up, in a great variety of applications, whether literal (establish, fix, prepare, apply), or figurative (appoint, render sure, proper or prosperous); certain(-ty), confirm, direct, faithfulness, fashion, fasten, firm, be fitted, be fixed, frame, be meet, ordain, order, perfect, (make) preparation, prepare (self), provide, make provision, (be, make) ready, right, set (aright, fast, forth), be stable, (e-) stablish, stand, tarry, × very deed.	h3559
h3556	ko-kawb'	כּוֹכָב	kôwkâb	probably from the same as {{h3522}} (in the sense of rolling) or {{h3554}} (in the sense of blazing); a star (as round or as shining); figuratively, a prince; star(-gazer).	h3556
h3557	kool	כּוּל	kûwl	a primitive root; properly, to keep in; hence, to measure; figuratively, to maintain (in various senses); (be able to, can) abide, bear, comprehend, contain, feed, forbearing, guide, hold(-ing in), nourish(-er), be present, make provision, receive, sustain, provide sustenance (victuals).	h3557
h3554	kaw-vaw'	כָּוָה	kâvâh	a primitive root; properly, to prick or penetrate; hence, to blister (as smarting or eating into); burn.	h3554
h3555	kev-ee-yaw'	כְּוִיָּה	kᵉvîyâh	from {{h3554}}; a branding; burning.	h3555
h3552	koob	כּוּב	Kûwb	of foreign derivation; Kub, a country near Egypt; Chub.	h3552
h3553	ko'-bah	כּוֹבַע	kôwbaʻ	from an unused root meaning to be high or rounded; a helmet (as arched); helmet. Compare {{h6959}}.	h3553
h3550	keh-hoon-naw'	כְּהֻנָּה	kᵉhunnâh	from {{h3547}}; priesthood; priesthood, priest's office.	h3550
